trade_id,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00184,LONG,AVAILABLE,0.6952919675746424,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,2.7010446170125766,AVAILABLE,Tuesday,True
L00185,SHORT,AVAILABLE,1.5149332059274374,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,2.5249246624736004,AVAILABLE,Tuesday,True
L00186,SHORT,AVAILABLE,0.914823462296652,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.9072687801616215,AVAILABLE,Tuesday,True
L00187,SHORT,AVAILABLE,0.3216506516935579,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.1608742173953523,AVAILABLE,Tuesday,True
L00188,LONG,AVAILABLE,1.6121213509807049,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,1.8318647139378093,AVAILABLE,Tuesday,True
L00189,LONG,AVAILABLE,0.2638321151961345,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,1.6955457669265983,AVAILABLE,Tuesday,True
L00190,LONG,AVAILABLE,1.6293550717507823,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,2.1254323822464163,AVAILABLE,Tuesday,True
L00191,SHORT,AVAILABLE,0.5522820337175504,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,0.8832978627416196,AVAILABLE,Tuesday,True
L00192,SHORT,AVAILABLE,1.3720281075552243,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.898201244103928,AVAILABLE,Tuesday,True
L00194,LONG,AVAILABLE,1.6100624924085165,AVAILABLE,NEUTRAL,AVAILABLE,1.6680745778482553,AVAILABLE,Wednesday,True
L00195,LONG,AVAILABLE,0.7245553894931478,AVAILABLE,NEUTRAL,AVAILABLE,1.4803715624913756,AVAILABLE,Wednesday,True
L00197,LONG,AVAILABLE,0.051591500192277,AVAILABLE,NEUTRAL,AVAILABLE,2.458873703992309,AVAILABLE,Wednesday,True
L00198,LONG,AVAILABLE,0.2226448674337796,AVAILABLE,NEUTRAL,AVAILABLE,2.0233627227912936,AVAILABLE,Wednesday,True
L00199,LONG,AVAILABLE,1.1199969387528,AVAILABLE,NEUTRAL,AVAILABLE,2.2466176868555454,AVAILABLE,Wednesday,True
L00200,SHORT,AVAILABLE,0.1588508451658401,AVAILABLE,NEUTRAL,AVAILABLE,0.9990538908296288,AVAILABLE,Wednesday,True
L00201,SHORT,AVAILABLE,-0.0752054148909025,AVAILABLE,NEUTRAL,AVAILABLE,1.4561622414673243,AVAILABLE,Wednesday,True
L00203,SHORT,AVAILABLE,1.8562103672580883,AVAILABLE,NEUTRAL,AVAILABLE,2.427618091097689,AVAILABLE,Thursday,True
L00206,SHORT,AVAILABLE,1.270315483098357,AVAILABLE,NEUTRAL,AVAILABLE,1.5495257182719928,AVAILABLE,Thursday,True
L00207,SHORT,AVAILABLE,0.2738822059832092,AVAILABLE,NEUTRAL,AVAILABLE,1.7289626842307395,AVAILABLE,Thursday,True
L00208,SHORT,AVAILABLE,1.4309253540442048,AVAILABLE,NEUTRAL,AVAILABLE,1.9995577029094675,AVAILABLE,Thursday,True
L00209,SHORT,AVAILABLE,2.009835671289058,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.8471046152377737,AVAILABLE,Thursday,True
L00210,LONG,AVAILABLE,2.170992109783488,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.5331092310310988,AVAILABLE,Friday,True
