trade_id,limit_created_bar,limit_created_time_utc,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00784,24463,2025-08-19 00:05:03,LONG,AVAILABLE,1.3166584448942729,AVAILABLE,NEUTRAL,AVAILABLE,3.946110043893832,AVAILABLE,Tuesday,True
L00785,24471,2025-08-19 00:45:03,SHORT,AVAILABLE,1.4083493896335697,AVAILABLE,NEUTRAL,AVAILABLE,2.0444314656113853,AVAILABLE,Tuesday,True
L00786,24506,2025-08-19 03:40:03,SHORT,AVAILABLE,1.4631952117085736,AVAILABLE,NEUTRAL,AVAILABLE,1.710435826508007,AVAILABLE,Tuesday,True
L00787,24558,2025-08-19 08:00:03,SHORT,AVAILABLE,0.0830405933097861,AVAILABLE,NEUTRAL,AVAILABLE,1.4036147647114554,AVAILABLE,Tuesday,True
L00788,24597,2025-08-19 11:15:03,SHORT,AVAILABLE,0.7572141936476698,AVAILABLE,NEUTRAL,AVAILABLE,1.7499704534085931,AVAILABLE,Tuesday,True
L00789,24624,2025-08-19 13:30:03,LONG,AVAILABLE,2.1537942798092917,AVAILABLE,NEUTRAL,AVAILABLE,3.277144789203055,AVAILABLE,Tuesday,True
L00790,24674,2025-08-19 17:40:03,LONG,AVAILABLE,1.7335720470122329,AVAILABLE,NEUTRAL,AVAILABLE,1.481386801564034,AVAILABLE,Tuesday,True
L00791,24747,2025-08-20 00:45:03,LONG,AVAILABLE,1.9290529604711697,AVAILABLE,NEUTRAL,AVAILABLE,1.047528773603049,AVAILABLE,Wednesday,True
L00792,24753,2025-08-20 01:15:03,LONG,AVAILABLE,0.509119872022746,AVAILABLE,NEUTRAL,AVAILABLE,1.3119946532638511,AVAILABLE,Wednesday,True
L00793,24757,2025-08-20 01:35:03,LONG,AVAILABLE,0.0886365058177996,AVAILABLE,NEUTRAL,AVAILABLE,1.3043799029047225,AVAILABLE,Wednesday,True
L00794,24762,2025-08-20 02:00:03,SHORT,AVAILABLE,1.0881419902176277,AVAILABLE,NEUTRAL,AVAILABLE,1.4173865556381766,AVAILABLE,Wednesday,True
L00795,24797,2025-08-20 04:55:03,SHORT,AVAILABLE,1.1925461590527742,AVAILABLE,NEUTRAL,AVAILABLE,1.5353091154225385,AVAILABLE,Wednesday,True
L00796,24819,2025-08-20 06:45:03,SHORT,AVAILABLE,0.3760722141189339,AVAILABLE,NEUTRAL,AVAILABLE,1.8167592757605704,AVAILABLE,Wednesday,True
L00797,24828,2025-08-20 07:30:03,SHORT,AVAILABLE,1.8243235702495315,AVAILABLE,NEUTRAL,AVAILABLE,1.982803401052845,AVAILABLE,Wednesday,True
L00798,24868,2025-08-20 10:50:03,SHORT,AVAILABLE,0.643539259675786,AVAILABLE,NEUTRAL,AVAILABLE,1.0776882859324812,AVAILABLE,Wednesday,True
L00799,24898,2025-08-20 13:20:03,SHORT,AVAILABLE,1.00645458064572,AVAILABLE,NEUTRAL,AVAILABLE,2.155121846899172,AVAILABLE,Wednesday,True
L00800,24903,2025-08-20 13:45:03,SHORT,AVAILABLE,0.5952906396770068,AVAILABLE,NEUTRAL,AVAILABLE,2.423163280234893,AVAILABLE,Wednesday,True
L00801,24918,2025-08-20 15:00:03,SHORT,AVAILABLE,1.4907234904445157,AVAILABLE,NEUTRAL,AVAILABLE,1.811436823783635,AVAILABLE,Wednesday,True
L00802,24994,2025-08-20 22:20:03,SHORT,AVAILABLE,2.171007170509061,AVAILABLE,NEUTRAL,AVAILABLE,2.2692841285331267,AVAILABLE,Wednesday,True
L00803,25028,2025-08-21 01:10:03,LONG,AVAILABLE,1.2286606817565262,AVAILABLE,NEUTRAL,AVAILABLE,1.8774905979162144,AVAILABLE,Thursday,True
L00804,25047,2025-08-21 02:45:03,LONG,AVAILABLE,0.8072210498675877,AVAILABLE,NEUTRAL,AVAILABLE,1.4641939433804778,AVAILABLE,Thursday,True
L00805,25077,2025-08-21 05:15:03,LONG,AVAILABLE,0.6070417561917206,AVAILABLE,NEUTRAL,AVAILABLE,1.5366062437138055,AVAILABLE,Thursday,True
L00806,25093,2025-08-21 06:35:03,LONG,AVAILABLE,1.4180342117678737,AVAILABLE,NEUTRAL,AVAILABLE,2.1024995617472952,AVAILABLE,Thursday,True
L00807,25153,2025-08-21 11:35:03,LONG,AVAILABLE,1.0083588500233256,AVAILABLE,NEUTRAL,AVAILABLE,0.9959716249818972,AVAILABLE,Thursday,True
L00808,25179,2025-08-21 13:45:03,SHORT,AVAILABLE,2.0104689553994275,AVAILABLE,NEUTRAL,AVAILABLE,1.4085669242828585,AVAILABLE,Thursday,True
L00809,25190,2025-08-21 14:40:03,SHORT,AVAILABLE,0.6252940639366866,AVAILABLE,NEUTRAL,AVAILABLE,1.3663876695438395,AVAILABLE,Thursday,True
L00810,25267,2025-08-21 22:05:03,SHORT,AVAILABLE,-0.2158893274052254,AVAILABLE,NEUTRAL,AVAILABLE,1.2343477750778469,AVAILABLE,Thursday,True
L00811,25276,2025-08-21 22:50:03,SHORT,AVAILABLE,0.6358747111641571,AVAILABLE,NEUTRAL,AVAILABLE,1.1161302116536618,AVAILABLE,Thursday,True
L00812,25285,2025-08-21 23:35:03,LONG,AVAILABLE,1.8976807194724097,AVAILABLE,NEUTRAL,AVAILABLE,1.5263552003350582,AVAILABLE,Thursday,True
L00813,25294,2025-08-22 00:20:03,LONG,AVAILABLE,0.2996049573490659,AVAILABLE,NEUTRAL,AVAILABLE,2.2585796226179333,AVAILABLE,Friday,True
L00814,25332,2025-08-22 03:30:03,LONG,AVAILABLE,0.8415177923587159,AVAILABLE,NEUTRAL,AVAILABLE,1.6008316743654745,AVAILABLE,Friday,True
L00815,25355,2025-08-22 05:25:03,LONG,AVAILABLE,0.859642307709933,AVAILABLE,NEUTRAL,AVAILABLE,1.5054019460400712,AVAILABLE,Friday,True
L00816,25372,2025-08-22 06:50:03,LONG,AVAILABLE,1.0109864055024338,AVAILABLE,NEUTRAL,AVAILABLE,1.5169823559001314,AVAILABLE,Friday,True
L00817,25391,2025-08-22 08:25:03,LONG,AVAILABLE,0.2810926233834921,AVAILABLE,NEUTRAL,AVAILABLE,1.5758307639446605,AVAILABLE,Friday,True
L00818,25437,2025-08-22 12:15:03,LONG,AVAILABLE,1.193880500213676,AVAILABLE,NEUTRAL,AVAILABLE,2.079362276886631,AVAILABLE,Friday,True
L00819,25447,2025-08-22 13:05:03,LONG,AVAILABLE,0.052651780158747,AVAILABLE,NEUTRAL,AVAILABLE,1.8132983158253508,AVAILABLE,Friday,True
L00820,25478,2025-08-22 15:40:03,SHORT,AVAILABLE,1.266594029996554,AVAILABLE,NEUTRAL,AVAILABLE,1.440042698375266,AVAILABLE,Friday,True
L00821,25554,2025-08-24 23:05:03,LONG,AVAILABLE,0.3713710590734804,AVAILABLE,NEUTRAL,AVAILABLE,1.668778829375405,AVAILABLE,Sunday,True
L00822,25565,2025-08-25 00:00:03,SHORT,AVAILABLE,2.0669836973790736,AVAILABLE,NEUTRAL,AVAILABLE,2.0762950419559982,AVAILABLE,Monday,True
L00823,25577,2025-08-25 01:00:03,LONG,AVAILABLE,1.2783489695445087,AVAILABLE,NEUTRAL,AVAILABLE,1.3558934425945397,AVAILABLE,Monday,True
L00824,25595,2025-08-25 02:30:03,LONG,AVAILABLE,1.3428807858080498,AVAILABLE,NEUTRAL,AVAILABLE,1.6660616725324962,AVAILABLE,Monday,True
L00825,25710,2025-08-25 12:05:03,SHORT,AVAILABLE,1.4623971377765843,AVAILABLE,NEUTRAL,AVAILABLE,1.7256093502496073,AVAILABLE,Monday,True
