time,time_server,time_utc,open,high,low,close,spread
1787184900,1787184900,1787184901,4516.284,4521.084,4514.253,4517.866,260
1787185200,1787185200,1787185201,4517.907,4518.144,4509.957,4512.035,260
1787185500,1787185500,1787185501,4511.731,4512.531,4508.394,4510.378,260
1787185800,1787185800,1787185801,4510.322,4513.165,4509.303,4511.579,260
1787186100,1787186100,1787186101,4511.347,4511.728,4508.623,4509.329,260
1787186400,1787186400,1787186401,4509.451,4509.542,4503.893,4505.938,260
1787186700,1787186700,1787186701,4505.835,4508.21,4504.552,4507.42,260
1787187000,1787187000,1787187001,4507.365,4510.143,4504.596,4506.129,260
1787187300,1787187300,1787187301,4506.216,4510.481,4503.855,4504.449,260
1787187600,1787187600,1787187601,4504.604,4510.22,4492.654,4493.187,260
1787187900,1787187900,1787187901,4493.249,4499.571,4491.665,4498.391,260
1787188200,1787188200,1787188201,4498.261,4498.47,4492.249,4493.35,260
1787188500,1787188500,1787188501,4493.418,4499.506,4493.185,4498.596,260
1787188800,1787188800,1787188801,4498.536,4503.35,4498.536,4502.436,260
1787189100,1787189100,1787189101,4502.075,4503.198,4497.451,4500.593,260
1787189400,1787189400,1787189401,4500.538,4501.366,4495.257,4498.617,260
1787189700,1787189700,1787189701,4498.216,4499.608,4493.563,4495.608,260
1787190000,1787190000,1787190001,4495.665,4499.404,4493.405,4493.93,260
1787190300,1787190300,1787190301,4493.901,4495.512,4488.92,4489.707,260
1787190600,1787190600,1787190601,4489.769,4490.609,4484.412,4485.129,260
1787190900,1787190900,1787190901,4485.183,4490.644,4484.676,4489.593,260
1787191200,1787191200,1787191201,4489.73,4498.811,4488.567,4497.532,260
1787191500,1787191500,1787191501,4497.588,4498.858,4494.21,4495.775,260
1787191800,1787191800,1787191801,4495.719,4499.73,4495.4,4497.754,260
1787192100,1787192100,1787192101,4497.692,4497.748,4489.514,4491.239,260
1787192400,1787192400,1787192401,4491.225,4494.354,4489.543,4493.918,260
1787192700,1787192700,1787192701,4493.805,4494.962,4490.951,4492.569,260
1787193000,1787193000,1787193001,4492.985,4494.671,4490.733,4491.849,260
1787193300,1787193300,1787193301,4491.976,4493.998,4490.22,4492.556,260
1787193600,1787193600,1787193601,4492.52,4493.943,4490.167,4490.505,260
1787193900,1787193900,1787193901,4490.419,4492.059,4488.808,4488.877,260
1787194200,1787194200,1787194201,4488.815,4494.525,4488.725,4493.395,260
1787194500,1787194500,1787194501,4493.322,4493.348,4490.519,4490.791,260
1787194800,1787194800,1787194801,4490.885,4496.41,4490.885,4495.98,260
1787195100,1787195100,1787195101,4495.703,4497.082,4491.49,4492.017,260
1787195400,1787195400,1787195401,4492.228,4492.541,4487.776,4492.541,260
1787195700,1787195700,1787195701,4492.507,4493.622,4490.342,4492.762,260
1787196000,1787196000,1787196001,4492.685,4496.092,4491.262,4494.951,260
1787196300,1787196300,1787196301,4495.074,4496.365,4493.109,4493.281,260
1787196600,1787196600,1787196601,4493.452,4498.368,4492.218,4497.696,260
1787196900,1787196900,1787196901,4497.637,4497.949,4494.801,4497.216,260
1787197200,1787197200,1787197201,4497.279,4498.703,4495.964,4497.68,260
1787197500,1787197500,1787197501,4497.837,4498.481,4496.833,4498.245,260
1787197800,1787197800,1787197801,4498.19,4500.464,4496.784,4499.589,260
1787198100,1787198100,1787198101,4499.592,4501.113,4497.92,4498.98,260
1787198400,1787198400,1787198401,4499.036,4499.297,4495.032,4495.773,260
