category,trade_id,bar,time_utc,direction,close,tv22_day_first_bar,tv22_day_first_time,daily_open_TV22,D_state_TV22,daily_open_UTC00,D_state_UTC00,daily_open_NY18,D_state_NY18,htf_block_start,new_htf_block,res_src,sup_src,pivot_1,pivot_2,pivot_3,hch_active_level,hch_form_bar,HCH_state,m15_bucket_start,ema200_m15_prev,ema200_m15_smooth,ema50,ema200,max_input_bar
utc_day_transition,L00713,22258,2025-08-07 00:10:03,LONG,3369.889,22232,2025-08-06 22:00:03,3371.635,AGAINST,3370.205,AGAINST,3371.635,AGAINST,2025-08-06 22:00:00,False,3374.796,3365.192,3365.192,3367.606,3368.171,3371.529,22233.0,NO_HCH,2025-08-07 00:00:00,3368.5723116822796,3368.5854130585753,3370.4662486172365,3371.5377746766612,22258
utc_day_transition,L00771,24187,2025-08-18 00:05:03,LONG,3331.644,24163,2025-08-17 22:05:03,3334.569,AGAINST,3327.08,ALIGNED,3334.569,AGAINST,2025-08-17 22:00:00,False,3335.381,3323.503,3323.503,3323.866,3330.033,3333.017,24164.0,NO_HCH,2025-08-18 00:00:00,3343.555055484231,3343.4365375192137,3333.0569562737505,3337.571780167826,24187
tv22_day_transition,L00097,2781,2025-04-29 22:05:03,LONG,3322.383,2780,2025-04-29 22:00:03,3317.26,ALIGNED,3337.643,AGAINST,3317.26,ALIGNED,2025-04-29 22:00:00,False,3323.362,3317.102,3317.102,3299.649,3299.78,3317.102,2781.0,HCH,2025-04-29 22:00:00,3316.7221460288224,3316.7784729340083,3319.851813831212,3317.9806552423656,2781
tv22_day_transition,L00138,3884,2025-05-05 22:05:03,SHORT,3330.579,3883,2025-05-05 22:00:03,3336.247,ALIGNED,3247.969,AGAINST,3336.247,ALIGNED,2025-05-05 22:00:00,False,3338.052,3330.579,3338.052,3337.678,3337.466,,3768.0,NO_HCH,2025-05-05 22:00:00,3278.2985923740844,3278.8187954350387,3325.9660900690733,3304.4974025403367,3884
tv22_day_transition,L00157,4435,2025-05-07 22:00:03,LONG,3372.519,4435,2025-05-07 22:00:03,3366.954,ALIGNED,3400.723,AGAINST,3366.954,ALIGNED,2025-05-07 22:00:00,True,,,3363.692,3372.066,3375.662,3384.395,4320.0,NO_HCH,2025-05-07 22:00:00,3367.3480640433822,3367.399516142453,3376.192563219426,3383.0098483171264,4435
tv22_day_transition,L00158,4436,2025-05-07 22:05:03,SHORT,3368.897,4435,2025-05-07 22:00:03,3366.954,AGAINST,3400.723,ALIGNED,3366.954,AGAINST,2025-05-07 22:00:00,False,3373.86,3366.954,3373.86,3398.114,3393.812,3373.86,4436.0,HCH,2025-05-07 22:00:00,3367.3480640433822,3367.363476341458,3375.9064627010175,3382.8694219657127,4436
tv22_day_transition,L00182,5263,2025-05-12 22:05:03,SHORT,3234.239,5262,2025-05-12 22:00:03,3239.778,ALIGNED,3287.506,ALIGNED,3239.778,ALIGNED,2025-05-12 22:00:00,False,3241.807,3233.686,3241.807,3248.609,3248.396,3241.807,5263.0,HCH,2025-05-12 22:00:00,3280.9187118309023,3280.4542370863164,3232.5682733122712,3242.4964729949425,5263
tv22_day_transition,L00191,5539,2025-05-13 22:05:03,SHORT,3250.849,5538,2025-05-13 22:00:03,3252.408,ALIGNED,3236.906,AGAINST,3252.408,ALIGNED,2025-05-13 22:00:00,False,3253.144,3249.751,3253.144,3258.576,3265.659,,5423.0,NO_HCH,2025-05-13 22:00:00,3260.320038279144,3260.2257990922867,3249.6855696480925,3247.7734251237785,5539
tv22_day_transition,L00280,8264,2025-05-27 22:10:03,SHORT,3303.313,8262,2025-05-27 22:00:03,3301.445,AGAINST,3346.182,ALIGNED,3301.445,AGAINST,2025-05-27 22:00:00,False,3305.281,3301.411,3305.281,3308.008,3306.818,3305.281,8263.0,HCH,2025-05-27 22:00:00,3318.6844172124715,3318.5314677874717,3302.5538817566303,3306.681435963035,8264
tv22_day_transition,L00297,8815,2025-05-29 22:05:03,SHORT,3316.045,8814,2025-05-29 22:00:03,3320.033,ALIGNED,3259.911,AGAINST,3320.033,ALIGNED,2025-05-29 22:00:00,False,3321.098,3315.886,3321.098,3331.253,3329.545,3321.098,8815.0,HCH,2025-05-29 22:00:00,3302.7043661438456,3302.83710876928,3317.9939778933253,3306.868741968344,8815
