candidate,partition,bucket,N_flag,N_other,ExpR_flag,ExpR_other,dExpR,boot_lo,boot_hi
D_NY18,month,2025-12,40,110,-0.18326056914851874,0.10120208939345447,-0.2844626585419732,,
D_NY18,month,2026-01,40,105,0.08281551742741475,-0.10798246831393478,0.19079798574134954,,
D_NY18,month,2026-02,22,75,-0.10997502464610397,0.2783126673885079,-0.3882876920346119,,
D_NY18,month,2026-03,44,93,-0.3859877107484724,-0.04311822562674639,-0.342869485121726,,
D_NY18,month,2026-04,39,101,-0.05655564598122242,-0.005273509584231748,-0.05128213639699067,,
D_NY18,month,2026-05,39,122,-0.16517074545648697,-0.28001554809568013,0.11484480263919317,,
D_NY18,month,2026-06,54,129,-0.0035346176038318355,-0.10079552023698209,0.09726090263315025,,
D_NY18,month,2026-07,32,120,0.0807348043374851,-0.153531415114555,0.23426621945204013,,
D_NY18,month,2026-08,38,120,0.2739003482832296,0.0801259548175923,0.19377439346563732,,
D_NY18,month,2026-09,11,39,0.05310708524510859,0.015374916017275574,0.03773216922783302,,
D_NY18,weekday,Friday,92,315,-0.14725671260560058,-0.15864348947674356,0.011386776871142978,,
D_NY18,weekday,Monday,136,349,0.06454520799600258,0.004948260323037968,0.05959694767296461,,
D_NY18,weekday,Sunday,25,24,-0.15283061220038482,0.125308723428321,-0.27813933562870585,,
D_NY18,weekday,Thursday,126,362,-0.03445624955221575,0.026957825050019674,-0.06141407460223542,,
D_NY18,weekday,Tuesday,142,391,-0.15208531402916117,-0.03856806857807318,-0.11351724545108799,,
D_NY18,weekday,Wednesday,153,359,-0.07853405017126486,-0.04822535097528146,-0.030308699195983398,,
D_NY18,atr_regime,Compression,240,559,-0.03614358934627303,-0.05083780685804427,0.014694217511771239,,
D_NY18,atr_regime,Expansion,234,621,-0.1271690776262229,-0.023530120184481636,-0.10363895744174126,,
D_NY18,atr_regime,Normal,200,617,-0.04055760340775214,-0.0384047271750223,-0.0021528762327298404,,
HCH,ALL,ALL,161,2313,0.025069896833266703,-0.0512115995657362,0.0762814963990029,-0.08610851792324338,0.23579113584285658
HCH,direction,LONG,70,1119,-0.055567922157297396,-0.1030980312651543,0.0475301091078569,,
HCH,direction,SHORT,91,1194,0.08709898836446985,-0.002584365837387104,0.08968335420185695,,
HCH,sub_periodo,sub1,46,785,0.015041771268840763,-0.1050543763421914,0.12009614761103217,,
HCH,sub_periodo,sub2,53,716,0.09394298527475545,0.019731101726778784,0.07421188354797667,,
HCH,sub_periodo,sub3,62,812,-0.02636526302859318,-0.06171454827992758,0.035349285251334406,,
HCH,month,2025-04,3,80,0.3051209142096056,-0.12970176523734392,0.4348226794469495,,
HCH,month,2025-05,12,134,-0.5438284573621588,-0.22465750097012763,-0.3191709563920312,,
HCH,month,2025-06,7,123,0.3603366273662014,-0.07494808259474971,0.43528470996095114,,
HCH,month,2025-07,6,146,0.2468345615822908,-0.08848733487481135,0.33532189645710214,,
HCH,month,2025-08,8,137,-0.12126272581891967,-0.04804983527682029,-0.07321289054209938,,
HCH,month,2025-09,10,152,0.3269238269577966,-0.07814090065463213,0.40506472761242873,,
HCH,month,2025-10,10,149,0.37559757350312123,0.10713517021087769,0.2684624032922435,,
HCH,month,2025-11,4,120,0.9530585047164893,0.003087204572241072,0.9499713001442482,,
HCH,month,2025-12,11,139,0.04180330157675132,0.02404295503593507,0.017760346540816253,,
HCH,month,2026-01,8,137,0.21507481985660482,-0.07113968638481313,0.286214506241418,,
HCH,month,2026-02,9,88,-0.3711444236927689,0.24766249233134915,-0.6188069160241181,,
HCH,month,2026-03,14,123,-0.03716000703583576,-0.16644889559120724,0.12928888855537146,,
HCH,month,2026-04,7,133,0.39428181099234305,-0.04134035592647729,0.43562216691882033,,
HCH,month,2026-05,14,147,-0.625175861305623,-0.21667410804215814,-0.40850175326346483,,
HCH,month,2026-06,10,173,-0.05811360499245356,-0.072903788504353,0.014790183511899438,,
HCH,month,2026-07,10,142,-0.07177675260636615,-0.10649639823157336,0.03471964562520721,,
HCH,month,2026-08,13,145,0.155508041526346,0.12414981567607793,0.03135822585026808,,
HCH,month,2026-09,5,45,0.5452031221819261,-0.03427146552310419,0.5794745877050304,,
HCH,weekday,Friday,15,392,-0.12355513397213838,-0.15731374932476377,0.03375861535262539,,
HCH,weekday,Monday,38,447,0.1430080871259202,0.011344035412553993,0.1316640517133662,,
HCH,weekday,Sunday,11,38,-0.3091818229741547,0.06809589763120487,-0.3772777206053596,,
HCH,weekday,Thursday,36,452,0.11222577555769171,0.0030467197001129136,0.1091790558575788,,
HCH,weekday,Tuesday,33,500,-0.08497365970118748,-0.0677441972720566,-0.01722946242913087,,
HCH,weekday,Wednesday,28,484,0.09358128541896539,-0.06601009642161279,0.1595913818405782,,
HCH,atr_regime,Compression,109,690,0.05635148214158316,-0.06265957540606498,0.11901105754764815,,
HCH,atr_regime,Expansion,14,841,-0.031076884902078012,-0.05224101356774099,0.021164128665662977,,
HCH,atr_regime,Normal,38,779,-0.043973204595987817,-0.03868582230281342,-0.005287382293174395,,
DHCH,ALL,ALL,96,2378,-0.033475095752724025,-0.046763064429407225,0.0132879686766832,-0.1930836280625013,0.21898020071881985
DHCH,direction,LONG,44,1145,-0.19455476165040564,-0.09667776595991319,-0.09787699569049245,,
DHCH,direction,SHORT,52,1233,0.10282308308377577,-0.0004108071281668939,0.10323389021194267,,
DHCH,sub_periodo,sub1,27,804,0.04056916164707447,-0.103073546411349,0.14364270805842347,,
DHCH,sub_periodo,sub2,30,739,-0.164303058151205,0.03252440974353424,-0.19682746789473923,,
DHCH,sub_periodo,sub3,39,835,0.015900389430862395,-0.06271493975913485,0.07861532918999725,,
DHCH,month,2025-04,1,82,0.9651576352974056,-0.12714556233726956,1.092303197634675,,
DHCH,month,2025-05,5,141,-0.6373736519870044,-0.23718566211636874,-0.40018798987063564,,
DHCH,month,2025-06,5,125,0.12735566697943904,-0.058664288819904,0.18601995579934305,,
DHCH,month,2025-07,3,149,0.9231135667068898,-0.09535224310301599,1.0184658098099058,,
DHCH,month,2025-08,6,139,-0.0963069825356113,-0.050180484491094045,-0.04612649804451726,,
DHCH,month,2025-09,7,155,0.06982869275777567,-0.05869019018858416,0.12851888294635982,,
DHCH,month,2025-10,5,154,0.19022695132047945,0.12187000870032202,0.06835694262015743,,
DHCH,month,2025-11,2,122,0.9582237368169246,0.018575828638533118,0.9396479081783915,,
DHCH,month,2025-12,6,144,-0.04462597912449173,0.02826085376448743,-0.07288683288897917,,
DHCH,month,2026-01,5,140,-0.22739339535991263,-0.049204082136192845,-0.17818931322371978,,
DHCH,month,2026-02,6,91,-0.6924173651512081,0.2484450956355061,-0.9408624607867142,,
DHCH,month,2026-03,9,128,-0.14759115928033562,-0.1536338579898217,0.006042698709486094,,
DHCH,month,2026-04,4,136,0.46069782543582105,-0.033684455610429154,0.4943822810462502,,
DHCH,month,2026-05,8,153,-0.5503756101661166,-0.23660490888331392,-0.31377070128280266,,
DHCH,month,2026-06,7,176,0.08854224071041027,-0.07848458605767317,0.16702682676808345,,
DHCH,month,2026-07,6,146,0.2513268413446315,-0.11882340495215661,0.3701502462967881,,
DHCH,month,2026-08,9,149,0.026563232554124554,0.1327802598650112,-0.10621702731088666,,
DHCH,month,2026-09,2,48,-0.04781177871705722,0.02665465041258452,-0.07446642912964174,,
DHCH,weekday,Friday,8,399,-0.3179553228644448,-0.15282374476685195,-0.16513157809759282,,
DHCH,weekday,Monday,25,460,0.1314666083330702,0.01569223028667358,0.11577437804639662,,
DHCH,weekday,Sunday,9,40,-0.5905416791922318,0.11253797925000426,-0.7030796584422361,,
DHCH,weekday,Thursday,21,467,0.28805089972969966,-0.001352941477078702,0.28940384120677837,,
DHCH,weekday,Tuesday,20,513,-0.3530446948153852,-0.057729698849629245,-0.29531499596575594,,
DHCH,weekday,Wednesday,13,499,0.18231294592626107,-0.06352440676026243,0.2458373526865235,,
DHCH,atr_regime,Compression,66,733,0.05864743294955472,-0.05588475586824404,0.11453218881779875,,
DHCH,atr_regime,Expansion,9,846,-0.36002286895261243,-0.048616504702749114,-0.31140636424986334,,
DHCH,atr_regime,Normal,21,796,-0.18305399744564785,-0.03512952688716155,-0.1479244705584863,,
E1_px_ema50,ALL,ALL,428,2000,-0.05478858797202001,-0.04089919510067351,-0.013889392871346502,-0.120667334537021,0.08991214036556835
E1_px_ema50,direction,LONG,224,950,-0.20757394610906607,-0.07731782275914344,-0.13025612334992265,,
E1_px_ema50,direction,SHORT,204,1050,0.11297572684512865,-0.007949008171581666,0.1209247350167103,,
E1_px_ema50,sub_periodo,sub1,138,647,-0.06754547455240596,-0.09781486539412867,0.030269390841722713,,
E1_px_ema50,sub_periodo,sub2,140,629,-0.03461469415912385,0.03808029290653895,-0.0726949870656628,,
E1_px_ema50,sub_periodo,sub3,150,724,-0.061881219876768,-0.05865286813474969,-0.003228351742018312,,
E1_px_ema50,month,2025-04,5,32,0.15769368029797098,-0.03378051018213239,0.1914741904801034,,
E1_px_ema50,month,2025-05,25,121,-0.3108041315010326,-0.23851192835386115,-0.07229220314717144,,
E1_px_ema50,month,2025-06,26,104,-0.2736150059825662,0.004016657576499221,-0.27763166355906543,,
E1_px_ema50,month,2025-07,21,131,0.37256715993990863,-0.14703857924402128,0.5196057391839299,,
E1_px_ema50,month,2025-08,29,116,-0.19098623921515706,-0.017364899157208475,-0.17362134005794858,,
E1_px_ema50,month,2025-09,31,131,0.048955210413518316,-0.07729610803622278,0.12625131844974108,,
E1_px_ema50,month,2025-10,21,138,0.1184683510989534,0.12486435306792727,-0.006396001968973872,,
E1_px_ema50,month,2025-11,25,99,0.05978692505625352,0.027151772132611638,0.032635152923641886,,
E1_px_ema50,month,2025-12,29,121,0.13584110017188164,-0.0011370647739283317,0.13697816494580997,,
E1_px_ema50,month,2026-01,25,120,-0.06771877386127854,-0.05277140941112165,-0.014947364450156896,,
E1_px_ema50,month,2026-02,18,79,-0.2510466107045946,0.2907954241089432,-0.5418420348135378,,
E1_px_ema50,month,2026-03,27,110,-0.2098359292958225,-0.1393444015021181,-0.0704915277937044,,
E1_px_ema50,month,2026-04,19,121,0.00741249713469868,-0.023794480221771542,0.03120697735647022,,
E1_px_ema50,month,2026-05,20,141,-0.24367115904154435,-0.25340519687691543,0.009734037835371079,,
E1_px_ema50,month,2026-06,42,141,0.001127002565235262,-0.09390656431856373,0.09503356688379899,,
E1_px_ema50,month,2026-07,33,119,-0.14808807700512547,-0.09204495406536084,-0.05604312293976463,,
E1_px_ema50,month,2026-08,22,136,0.033747887762001175,0.14177113442727773,-0.10802324666527656,,
E1_px_ema50,month,2026-09,10,40,-0.037162889108968346,0.03888571383649064,-0.07604860294545898,,
E1_px_ema50,weekday,Friday,66,341,-0.23022800070849347,-0.14171633049304666,-0.08851167021544681,,
E1_px_ema50,weekday,Monday,81,396,0.1090201461143577,0.010015258056994672,0.09900488805736303,,
E1_px_ema50,weekday,Sunday,14,35,-0.037887314241335325,-0.008083815524320642,-0.02980349871701468,,
E1_px_ema50,weekday,Thursday,93,388,-0.07766366014458942,0.025184465965059955,-0.10284812610964937,,
E1_px_ema50,weekday,Tuesday,81,434,0.038281065929643594,-0.0767244307608666,0.11500549669051019,,
E1_px_ema50,weekday,Wednesday,93,406,-0.13368519341938268,-0.033569950725773276,-0.1001152426936094,,
E1_px_ema50,atr_regime,Compression,198,594,-0.12299980331310703,-0.019330465422677724,-0.10366933789042931,,
E1_px_ema50,atr_regime,Expansion,107,725,0.0358909896422469,-0.058960184044939974,0.09485117368718687,,
E1_px_ema50,atr_regime,Normal,123,681,-0.02386902835568928,-0.04048452321247425,0.016615494856784967,,
E2_px_ema200,ALL,ALL,613,1815,-0.07198655917046516,-0.033675011064394744,-0.03831154810607042,-0.1288653479501857,0.05395296512540102
E2_px_ema200,direction,LONG,343,831,-0.16165248242349056,-0.0776193671219733,-0.08403311530151726,,
E2_px_ema200,direction,SHORT,270,984,0.04192237296208198,0.0034365335330115306,0.038485839429070454,,
E2_px_ema200,sub_periodo,sub1,221,564,-0.1244044176361467,-0.0799895693273845,-0.04441484830876219,,
E2_px_ema200,sub_periodo,sub2,188,581,-0.11615747489555464,0.07047169076815821,-0.18662916566371285,,
E2_px_ema200,sub_periodo,sub3,204,670,0.025505984345380185,-0.08500011987691274,0.11050610422229293,,
E2_px_ema200,month,2025-04,8,29,-0.038992073170680985,0.0006699538285195317,-0.03966202699920052,,
E2_px_ema200,month,2025-05,50,96,-0.31895150187343296,-0.21544241171532671,-0.10350909015810625,,
E2_px_ema200,month,2025-06,35,95,-0.17979235562790152,-0.004247634953834273,-0.17554472067406726,,
E2_px_ema200,month,2025-07,39,113,0.02215884303872329,-0.10887025133397271,0.131029094372696,,
