trade_id,asset,direction,limit_created_bar,entry_time_utc,hour_utc,session_utc,weekday,sub_periodo,fate,filled,fill_bar,time_to_fill_bars,exit_bar,outcome,pnl_usd,pnl_r,origin_bar,atr_m5,risk_price,risk_atr,risk_ticks,risk_usd,reward_price,reward_atr,reward_ticks,reward_usd,rr_nominal,rr_geometric,spread_price,spread_usd,spread_over_risk,spread_over_reward,breakeven_pct,rr_effective_net,cost_frac_of_target,swap_1night_estimate_usd,origin_retracement_frac,origin_dist_to_target_atr,distance_to_limit_atr,distance_to_limit_price,momentum_roc_atr_10
L00011,XAU,SHORT,282,2025-04-15T19:20:03+00:00,19,Nueva York,Tuesday,sub1,FILLED_CLOSED,True,283.0,1.0,290.0,loss,-3.46598064439695,-1.0483971375546373,281,1.835085678497742,3.3059806443970956,1.8015402131542293,3305.9806443970956,3.3059806443970956,3.3059806443970956,1.8015402131542293,3305.9806443970956,3.3059806443970956,1.0,1.0,0.16,0.16,0.04839713755468125,0.04839713755468125,52.41985687773406,0.9076740372115771,0.04839713755468125,0.0,0.4900292546118979,3.5326344294185077,1.0202759563443626,1.8722937956031274,0.3934421201473595
L00012,XAU,SHORT,293,2025-04-15T20:15:03+00:00,20,Nueva York,Tuesday,sub1,FILLED_CLOSED,True,296.0,3.0,307.0,loss,-4.643796012316216,-1.035568570754846,291,2.013823030613085,4.484296012316463,2.22675773598203,4484.296012316463,4.484296012316463,4.484296012316463,2.22675773598203,4484.296012316463,4.484296012316463,1.0,1.0,0.159,0.159,0.035457070533099135,0.035457070533099135,51.77285352665495,0.9315141659811271,0.035457070533099135,0.0,0.49268337063548806,4.3892859155265,0.7702022094817872,1.5510509476835068,-0.470249860888627
L00013,XAU,SHORT,324,2025-04-15T23:50:03+00:00,23,Post-NY / transicion,Tuesday,sub1,FILLED_CLOSED,True,325.0,1.0,325.0,loss,-7.303280223200545,-1.0223986732986043,321,2.462840400137707,7.143280223200691,2.9004235202578625,7143.280223200691,7.143280223200691,7.143280223200691,2.9004235202578625,7143.280223200691,7.143280223200691,1.0,1.0,0.16,0.16,0.022398673298624813,0.022398673298624813,51.11993366493124,0.9561840720579993,0.022398673298624813,0.0,0.49541035550745605,5.7480837189490135,0.1955739465587064,0.48166741679915503,-0.4230887230620604
L00014,XAU,LONG,325,2025-04-15T23:55:03+00:00,23,Post-NY / transicion,Tuesday,sub1,EXPIRED,False,,,,,,,302,3.046208942985021,13.465068269599215,4.420270743609797,13465.068269599215,13.465068269599215,13.465068269599215,4.420270743609797,13465.068269599215,13.465068269599215,1.0,1.0,0.16,0.16,0.011882598498311392,0.011882598498311392,50.59412992491556,0.9765138791477473,0.011882598498311392,-0.5493,0.497589714453492,8.798129478582528,2.8061527394849572,8.548127570400993,4.2639885323401145
L00015,XAU,SHORT,343,2025-04-16T01:25:03+00:00,1,Asia,Wednesday,sub1,EXPIRED,False,,,,,,,339,4.491259012352468,9.302990195702478,2.071354640228082,9302.990195702478,9.302990195702478,9.302990195702478,2.071354640228082,9302.990195702478,9.302990195702478,1.0,1.0,0.16,0.16,0.017198771215937873,0.017198771215937873,50.85993856079689,0.966184050349611,0.017198771215937873,0.0,0.4964545513250164,4.113540586412986,0.20684934040589856,0.9290139642971553,-0.10932346556935836
L00016,XAU,SHORT,358,2025-04-16T02:40:03+00:00,2,Asia,Wednesday,sub1,FILLED_CLOSED,True,359.0,1.0,367.0,loss,-5.267386613739291,-1.0312262217353687,351,3.8319806274024053,5.107886613739538,1.3329625356697157,5107.886613739538,5.107886613739538,5.107886613739538,1.3329625356697157,5107.886613739538,5.107886613739538,1.0,1.0,0.16,0.16,0.03132410957784795,0.03132410957784795,51.5662054788924,0.9392545771267388,0.03132410957784795,0.0,0.4935042079091874,2.6317346688454246,0.2787410611166674,1.0681303462606593,-0.2116399008388122
L00017,XAU,SHORT,378,2025-04-16T04:20:03+00:00,4,Asia,Wednesday,sub1,EXPIRED,False,,,,,,,374,3.0260334601065395,6.559147450989258,2.1675726780490807,6559.147450989258,6.559147450989258,6.559147450989258,2.1675726780490807,6559.147450989258,6.559147450989258,1.0,1.0,0.16,0.16,0.024393414112968085,0.024393414112968085,51.219670705648404,0.9523749103090621,0.024393414112968085,0.0,0.4949429782658367,4.291738526090589,0.6173768709566279,1.868203069010633,0.23066499733128876
L00018,XAU,SHORT,398,2025-04-16T06:00:03+00:00,6,Asia,Wednesday,sub1,FILLED_CLOSED,True,399.0,1.0,402.0,loss,-4.462484833350572,-1.0370672930946743,392,3.2834077567023834,4.30298483335082,1.3105240506809381,4302.98483335082,4.30298483335082,4.30298483335082,1.3105240506809381,4302.98483335082,4.30298483335082,1.0,1.0,0.16,0.16,0.03718349150568696,0.03718349150568696,51.85917457528435,0.9282991065511321,0.03718349150568696,0.0,0.4922311325459631,2.580946045888815,0.17624572076613787,0.5786865666491394,0.06730811899584474
L00019,XAU,SHORT,406,2025-04-16T06:40:03+00:00,6,Asia,Wednesday,sub1,FILLED_CLOSED,True,407.0,1.0,410.0,loss,-5.846142631292423,-1.0279578006580623,405,3.3063212526572956,5.687142631292772,1.7200816849608933,5687.142631292772,5.687142631292772,5.687142631292772,1.7200816849608933,5687.142631292772,5.687142631292772,1.0,1.0,0.16,0.16,0.028133635882388555,0.028133635882388555,51.40668179411942,0.945272414206655,0.028133635882388555,0.0,0.49413823115542543,3.4002998267484936,0.19618754474801967,0.6486590487070316,0.32180780955411165
L00020,XAU,SHORT,427,2025-04-16T08:25:03+00:00,8,Londres,Wednesday,sub1,EXPIRED,False,,,,,,,425,5.198331639449881,14.48996982924973,2.787426973547834,14489.96982924973,14.48996982924973,14.48996982924973,2.787426973547834,14489.96982924973,14.48996982924973,1.0,1.0,0.16,0.16,0.011042120990274316,0.011042120990274316,50.55210604951371,0.9781569516026513,0.011042120990274316,0.0,0.49769972966837855,5.549324056121966,0.6995981139701032,3.6367430107502514,-0.8408466991272339
L00021,XAU,LONG,466,2025-04-16T11:40:03+00:00,11,Londres,Wednesday,sub1,EXPIRED,False,,,,,,,463,4.023110624222276,7.132382266878722,1.7728526339634303,7132.382266878722,7.132382266878722,7.132382266878722,1.7728526339634303,7132.382266878722,7.132382266878722,1.0,1.0,0.16,0.16,0.022432897454614322,0.022432897454614322,51.12164487273072,0.956118592211847,0.022432897454614322,-0.5493,0.49533976487416737,3.5129628026297435,0.6821448748135657,2.7443442931212303,-0.3795570499121521
L00022,XAU,SHORT,477,2025-04-16T12:35:03+00:00,12,Londres/NY (overlap),Wednesday,sub1,FILLED_CLOSED,True,478.0,1.0,493.0,loss,-8.681225430254017,-1.0186570985830992,469,3.9850039616217487,8.522225430254366,2.1385738916018884,8522.225430254366,8.522225430254366,8.522225430254366,2.1385738916018884,8522.225430254366,8.522225430254366,1.0,1.0,0.159,0.159,0.018657098583140186,0.018657098583140186,50.93285492915701,0.9633692267808459,0.018657098583140186,0.0,0.49608119416531066,4.243885853911648,0.43295402121597654,1.7253234897457332,1.7874511715921233
L00023,XAU,SHORT,500,2025-04-16T14:30:03+00:00,14,Londres/NY (overlap),Wednesday,sub1,FILLED_CLOSED,True,501.0,1.0,514.0,loss,-9.864892912444702,-1.0164341620621284,494,5.1809120297089555,9.70539291244495,1.8732981484324032,9705.39291244495,9.70539291244495,9.70539291244495,1.8732981484324032,9705.39291244495,9.70539291244495,1.0,1.0,0.16,0.16,0.016485679811565027,0.016485679811565027,50.82428399057826,0.9675633801066019,0.016485679811565027,0.0,0.49655605371561495,3.7209666781338466,0.017061067056982133,0.0883918875551899,-2.147112310769095
L00024,XAU,SHORT,526,2025-04-16T16:40:03+00:00,16,Nueva York,Wednesday,sub1,FILLED_CLOSED,True,527.0,1.0,546.0,loss,-7.2847549561297456,-1.0224569126917404,523,4.133207179648472,7.124754956129891,1.723783649465123,7124.754956129891,7.124754956129891,7.124754956129891,1.723783649465123,7124.754956129891,7.124754956129891,1.0,1.0,0.16,0.16,0.02245691269176094,0.02245691269176094,51.122845634588046,0.9560726473399451,0.02245691269176094,0.0,0.4952778383966661,3.4153119886577548,0.8154836613239659,3.3705629238702386,1.3195564032829439
L00025,XAU,SHORT,562,2025-04-16T19:40:03+00:00,19,Nueva York,Wednesday,sub1,FILLED_CLOSED,True,563.0,1.0,568.0,win,3.8554208508594456,0.9602731894538794,555,2.7891541534409234,4.014920850859198,1.4394761386372537,4014.9208508591983,4.014920850859198,4.014920850859198,1.4394761386372537,4014.9208508591983,4.014920850859198,1.0,1.0,0.16,0.16,0.03985134600243982,0.03985134600243982,51.992567300122,0.9233518403267108,0.03985134600243982,0.0,0.4915338476043779,2.8310166406460047,0.185998693726072,0.51877902914066,0.6887392715924011
L00026,XAU,SHORT,591,2025-04-16T23:05:03+00:00,23,Post-NY / transicion,Wednesday,sub1,FILLED_CLOSED,True,592.0,1.0,603.0,win,6.9562065120971965,0.9776534947047105,582,2.606621182202609,7.115206512096847,2.729666497256214,7115.206512096847,7.115206512096847,7.115206512096847,2.729666497256214,7115.206512096847,7.115206512096847,1.0,1.0,0.16,0.16,0.022487049353799866,0.022487049353799866,51.124352467689995,0.9560149942867023,0.022487049353799866,0.0,0.4952359144746704,5.407806489273763,0.08213835188831513,0.21410356790329388,1.441329497992254
L00027,XAU,LONG,614,2025-04-17T01:00:03+00:00,1,Asia,Thursday,sub1,FILLED_CLOSED,True,615.0,1.0,616.0,win,4.310050528402371,0.9642062211638925,613,3.5664915054997763,4.470050528402226,1.2533467474993558,4470.050528402226,4.470050528402226,4.470050528402226,1.2533467474993558,4470.050528402226,4.470050528402226,1.0,1.0,0.159,0.159,0.035570067718414124,0.035570067718414124,51.77850338592071,0.9313034070272374,0.035570067718414124,-0.5493,0.4924100213053416,2.4692109775739066,0.12382773123582579,0.441630551597882,0.399552332538092
L00028,XAU,LONG,629,2025-04-17T02:15:03+00:00,2,Asia,Thursday,sub1,FILLED_CLOSED,True,630.0,1.0,688.0,loss,-15.065642369095713,-1.0107002869052448,625,5.866778102970746,14.90614236909596,2.5407714604968565,14906.14236909596,14.90614236909596,14.90614236909596,2.5407714604968565,14906.14236909596,14.90614236909596,1.0,1.0,0.16,0.16,0.010733830124400174,0.010733830124400174,50.53669150622001,0.9787603228377563,0.010733830124400174,-0.5493,0.4977622222122654,5.058901526062993,0.05449152248357125,0.3196896709041539,-2.093653413238971
L00029,XAU,LONG,694,2025-04-17T07:40:03+00:00,7,Asia/Londres (overlap),Thursday,sub1,FILLED_CLOSED,True,695.0,1.0,705.0,loss,-9.16797797626623,-1.0177055436467701,690,4.132826606358373,9.008477976266477,2.1797377035869085,9008.477976266477,9.008477976266477,9.008477976266477,2.1797377035869085,9008.477976266477,9.008477976266477,1.0,1.0,0.16,0.16,0.017761046918417542,0.017761046918417542,50.888052345920876,0.9650978056741422,0.017761046918417542,-0.5493,0.49629366171836176,4.327397806870851,0.0159922469604873,0.06609318373375572,-1.2366838696151876
L00030,XAU,LONG,707,2025-04-17T08:45:03+00:00,8,Londres,Thursday,sub1,EXPIRED,False,,,,,,,705,3.7773765092844087,7.318161848749696,1.9373662727986993,7318.161848749696,7.318161848749696,7.318161848749696,1.9373662727986993,7318.161848749696,7.318161848749696,1.0,1.0,0.16,0.16,0.021863413696888368,0.021863413696888368,51.093170684844424,0.9572087357197943,0.021863413696888368,-0.5493,0.4954319843635905,3.839653352492245,0.35801182856049574,1.3523454712503735,-0.5564708720016018
L00031,XAU,SHORT,739,2025-04-17T11:25:03+00:00,11,Londres,Thursday,sub1,FILLED_CLOSED,True,741.0,2.0,742.0,win,4.4044101289291575,0.9651576352974056,738,3.091883198207316,4.563410128928808,1.4759322511195405,4563.410128928808,4.563410128928808,4.563410128928808,1.4759322511195405,4563.410128928808,4.563410128928808,1.0,1.0,0.159,0.159,0.03484236470267091,0.03484236470267091,51.74211823513354,0.9326615030634512,0.03484236470267091,0.0,0.4925891765186452,2.908752006890871,0.3528233769320082,1.090888671070843,0.6009282630977115
L00032,XAU,LONG,745,2025-04-17T11:55:03+00:00,11,Londres,Thursday,sub1,EXPIRED,False,,,,,,,744,3.1172295929066336,3.992362595837676,1.2807406310149367,3992.362595837676,3.992362595837676,3.992362595837676,1.2807406310149367,3992.362595837676,3.992362595837676,1.0,1.0,0.16,0.16,0.040076520145442565,0.040076520145442565,52.003826007272124,0.922935439135116,0.040076520145442565,-0.5493,0.4915373311237708,2.518848893755653,0.3655593052098939,1.1395322841626694,-0.4686854004351629
L00033,XAU,SHORT,750,2025-04-17T12:20:03+00:00,12,Londres/NY (overlap),Thursday,sub1,FILLED_CLOSED,True,758.0,8.0,768.0,win,12.930510690704068,0.9878151360019114,749,4.1898159922931475,13.09001069070382,3.1242447674986,13090.01069070382,13.09001069070382,13.09001069070382,3.1242447674986,13090.01069070382,13.09001069070382,1.0,1.0,0.16,0.16,0.012223061063932344,0.012223061063932344,50.611153053196624,0.9758490760898396,0.012223061063932344,0.0,0.4974335144571333,6.216580009556001,0.30638203483343357,1.2836843492964363,-0.4608794284884992
L00034,XAU,LONG,784,2025-04-17T15:10:03+00:00,15,Londres/NY (overlap),Thursday,sub1,FILLED_CLOSED,True,786.0,2.0,803.0,win,15.540510607605029,0.989840771195244,777,6.709793468344879,15.700010607604781,2.3398649573453327,15700.010607604781,15.700010607604781,15.700010607604781,2.3398649573453327,15700.010607604781,15.700010607604781,1.0,1.0,0.159,0.159,0.010127381692531053,0.010127381692531053,50.506369084626556,0.9799483077558753,0.010127381692531053,-0.5493,0.49789960866590194,4.660153622123716,0.6031992328064449,4.047342272395326,-0.8839318271092858
L00035,XAU,SHORT,915,2025-04-21T03:10:03+00:00,3,Asia,Monday,sub1,FILLED_CLOSED,True,916.0,1.0,925.0,win,3.776544023865881,0.9595989781754546,913,3.462992703802492,3.935544023865532,1.1364574980317346,3935.544023865532,3.935544023865532,3.935544023865532,1.1364574980317346,3935.544023865532,3.935544023865532,1.0,1.0,0.159,0.159,0.04040102182463419,0.04040102182463419,52.020051091231714,0.9223356744617962,0.04040102182463419,0.0,0.4912475810153067,2.233812470709701,0.0683997213954675,0.2368677361346272,-0.3115802117675261
L00036,XAU,SHORT,968,2025-04-21T07:35:03+00:00,7,Asia/Londres (overlap),Monday,sub1,EXPIRED,False,,,,,,,965,2.745385280143657,3.121085466457771,1.136847891271004,3121.085466457771,3.121085466457771,3.121085466457771,1.136847891271004,3121.085466457771,3.121085466457771,1.0,1.0,0.159,0.159,0.05094381480698594,0.05094381480698594,52.54719074034929,0.9030513066650626,0.05094381480698594,0.0,0.48887705747449456,2.224216126268436,0.06401842933066336,0.17575525354232013,-0.5838889031692432
L00037,XAU,SHORT,994,2025-04-21T09:45:03+00:00,9,Londres,Monday,sub1,FILLED_CLOSED,True,995.0,1.0,1000.0,loss,-3.6246983701594218,-1.0461800661719611,990,2.4536400218603727,3.4646983701595673,1.41206466282393,3464.6983701595673,3.4646983701595673,3.4646983701595673,1.41206466282393,3464.6983701595673,3.4646983701595673,1.0,1.0,0.16,0.16,0.04618006617200307,0.04618006617200307,52.309003308600154,0.9117167920413987,0.04618006617200307,0.0,0.48999917453679226,2.768749759456612,0.3045202813712034,0.7471831498405663,-0.07539818325088972
L00038,XAU,SHORT,1003,2025-04-21T10:30:03+00:00,10,Londres,Monday,sub1,EXPIRED,False,,,,,,,1000,2.341135269228425,2.8692253191693453,1.2255700714444255,2869.2253191693453,2.8692253191693453,2.8692253191693453,1.2255700714444255,2869.2253191693453,2.8692253191693453,1.0,1.0,0.16,0.16,0.05576418099026143,0.05576418099026143,52.78820904951308,0.8943624305610424,0.05576418099026143,0.0,0.48787034873304436,2.3930855563869273,0.02250545772530424,0.052688320830839075,0.14736440244820084
L00039,XAU,LONG,1014,2025-04-21T11:25:03+00:00,11,Londres,Monday,sub1,EXPIRED,False,,,,,,,1013,2.875190028579802,4.916229619659134,1.709879893430036,4916.229619659134,4.916229619659134,4.916229619659134,1.709879893430036,4916.229619659134,4.916229619659134,1.0,1.0,0.16,0.16,0.03254526585987527,0.03254526585987527,51.62726329299376,0.9369610864802668,0.03254526585987527,-0.5493,0.4930127571580152,3.3726290307524813,0.020617858211711002,0.05928026034098366,-0.36728007175290966
L00040,XAU,SHORT,1025,2025-04-21T12:20:03+00:00,12,Londres/NY (overlap),Monday,sub1,FILLED_CLOSED,True,1026.0,1.0,1030.0,loss,-6.740272676055156,-1.024159460916752,1024,3.592079808093453,6.581272676055505,1.8321621533093408,6581.272676055505,6.581272676055505,6.581272676055505,1.8321621533093408,6581.272676055505,6.581272676055505,1.0,1.0,0.159,0.159,0.024159460916805056,0.024159460916805056,51.20797304584025,0.952820899793909,0.024159460916805056,0.0,0.4947676293127046,3.626375227733231,0.3145930781934028,1.130043443944487,-0.9256475851422156
L00041,XAU,SHORT,1039,2025-04-21T13:30:03+00:00,13,Londres/NY (overlap),Monday,sub1,FILLED_CLOSED,True,1040.0,1.0,1043.0,loss,-11.916400203887406,-1.0135233977956346,1034,5.031988253363879,11.757400203887755,2.3365317270023325,11757.400203887755,11.757400203887755,11.757400203887755,2.3365317270023325,11757.400203887755,11.757400203887755,1.0,1.0,0.159,0.159,0.013523397795664414,0.013523397795664414,50.67616988978323,0.9733140886040188,0.013523397795664414,0.0,0.49707035767433067,4.645842142446884,1.0164127693845861,5.114577116112287,-0.08783804288583756
L00042,XAU,SHORT,1052,2025-04-21T14:35:03+00:00,14,Londres/NY (overlap),Monday,sub1,EXPIRED,False,,,,,,,1047,5.906384088868971,7.952211293165874,1.3463755782751108,7952.211293165874,7.952211293165874,7.952211293165874,1.3463755782751108,7952.211293165874,7.952211293165874,1.0,1.0,0.159,0.159,0.01999443854524395,0.01999443854524395,50.9997219272622,0.9607950047771616,0.01999443854524395,0.0,0.49564884505286744,2.6695201648070808,0.4032924088569918,2.381999866834576,0.3746793243891401
L00043,XAU,SHORT,1110,2025-04-21T19:25:03+00:00,19,Nueva York,Monday,sub1,EXPIRED,False,,,,,,,1106,2.9044214789335285,4.850218087718076,1.669942920784012,4850.218087718076,4.850218087718076,4.850218087718076,1.669942920784012,4850.218087718076,4.850218087718076,1.0,1.0,0.159,0.159,0.03278203106013447,0.03278203106013447,51.63910155300672,0.9365170383019074,0.03278203106013447,0.0,0.4928255356535466,3.2926399852088486,1.2422452520929754,3.608003792282034,1.2195199717709357
L00044,XAU,SHORT,1142,2025-04-21T23:05:03+00:00,23,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,1143.0,1.0,1144.0,loss,-5.588051997335697,-1.0294765046610432,1134,2.695019027741597,5.428051997335842,2.0141052591693587,5428.051997335842,5.428051997335842,5.428051997335842,2.0141052591693587,5428.051997335842,5.428051997335842,1.0,1.0,0.16,0.16,0.02947650466106995,0.02947650466106995,51.473825233053496,0.9427349637847745,0.02947650466106995,0.0,0.49358898378114124,3.9772145444381697,0.0005132144339177057,0.0013831226647198491,0.998879774980988
L00045,XAU,SHORT,1150,2025-04-21T23:45:03+00:00,23,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,1152.0,2.0,1153.0,win,7.139874303127272,0.9781488120246932,1148,3.5846372908130526,7.299374303127024,2.036293691926474,7299.374303127024,7.299374303127024,7.299374303127024,2.036293691926474,7299.374303127024,7.299374303127024,1.0,1.0,0.159,0.159,0.021782688953474412,0.021782688953474412,51.08913444767372,0.9573633627013498,0.021782688953474412,0.0,0.4952364813468423,4.034153849628125,0.23332792386460832,0.8363959768730638,-1.4509138799982613
L00046,XAU,LONG,1157,2025-04-22T00:20:03+00:00,0,Asia,Tuesday,sub1,FILLED_CLOSED,True,1158.0,1.0,1172.0,win,16.835653246267157,0.9905858281713886,1153,5.7018001711091655,16.99565324626701,2.980752172337331,16995.65324626701,16.99565324626701,16.99565324626701,2.980752172337331,16995.65324626701,16.99565324626701,1.0,1.0,0.159,0.159,0.009355333254691069,0.009355333254691069,50.46776666273455,0.9814627555897,0.009355333254691069,-0.5493,0.49798422790533076,5.937566781816621,0.3728355764736489,2.1258339537330357,-1.6238731141289489
L00047,XAU,SHORT,1178,2025-04-22T02:05:03+00:00,2,Asia,Tuesday,sub1,FILLED_CLOSED,True,1179.0,1.0,1181.0,loss,-10.529776563770156,-1.015331542341304,1174,5.833476396210361,10.370776563770505,1.7778038101787368,10370.776563770505,10.370776563770505,10.370776563770505,1.7778038101787368,10370.776563770505,10.370776563770505,1.0,1.0,0.159,0.159,0.01533154234133768,0.01533154234133768,50.76657711706689,0.9697999289848054,0.01533154234133768,0.0,0.4966461427774556,3.531916532811486,0.037100490604578824,0.21642483622963482,-1.5095629778703288
L00048,XAU,SHORT,1203,2025-04-22T04:10:03+00:00,4,Asia,Tuesday,sub1,FILLED_CLOSED,True,1204.0,1.0,1224.0,loss,-11.794083880924063,-1.0136655654249584,1197,5.431270723307099,11.635083880924412,2.1422397213593163,11635.083880924412,11.635083880924412,11.635083880924412,2.1422397213593163,11635.083880924412,11.635083880924412,1.0,1.0,0.16,0.16,0.013751512377346774,0.013751512377346774,50.68757561886734,0.9728700530466324,0.013751512377346774,0.0,0.49697819622750206,4.258741281775906,0.2914063981903388,1.582707039075558,0.9172807348049911
