trade_id,asset,direction,limit_created_bar,entry_time_utc,hour_utc,session_utc,weekday,sub_periodo,fate,filled,fill_bar,exit_bar,outcome,pnl_usd,pnl_r,n_d1_closed_days,momentum_roc_atr_10,div_alignment,legacy_aligned_with_d1,closed_dist_ema20_atr,forming_dist_ema20_atr,closed_ema20_slope,forming_ema20_slope,closed_dist_ema50_atr,forming_dist_ema50_atr,closed_ema50_slope,forming_ema50_slope,closed_dist_ema200_atr,forming_dist_ema200_atr,closed_ema200_slope,forming_ema200_slope,closed_ret_1d,forming_ret_1d,closed_ret_3d,forming_ret_3d,closed_ret_5d,forming_ret_5d,closed_ret_10d,forming_ret_10d,closed_rsi14,closed_rsi14_delta,forming_rsi14,forming_rsi14_delta,closed_atr14,closed_atr14_pct,closed_swing_high_type,closed_swing_high_age_days,closed_swing_low_type,closed_swing_low_age_days,aligned_closed_dist_ema20_atr,aligned_forming_dist_ema20_atr,aligned_closed_ema20_slope,aligned_forming_ema20_slope,aligned_closed_dist_ema50_atr,aligned_forming_dist_ema50_atr,aligned_closed_ema50_slope,aligned_forming_ema50_slope,aligned_closed_dist_ema200_atr,aligned_forming_dist_ema200_atr,aligned_closed_ema200_slope,aligned_forming_ema200_slope,aligned_closed_ret_1d,aligned_forming_ret_1d,aligned_closed_ret_3d,aligned_forming_ret_3d,aligned_closed_ret_5d,aligned_forming_ret_5d,aligned_closed_ret_10d,aligned_forming_ret_10d,aligned_closed_rsi14_delta,aligned_forming_rsi14_delta
L00015,XAU,SHORT,343,2025-04-16T01:25:03+00:00,1,Asia,Wednesday,sub1,EXPIRED,False,,,,,,2,-0.10932346556935836,ALIGNED,,,,,,,,,,,,,,0.006052873557489773,0.010896932573081794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.010896932573081794,,,,,,,,
L00016,XAU,SHORT,358,2025-04-16T02:40:03+00:00,2,Asia,Wednesday,sub1,FILLED_CLOSED,True,359.0,367.0,loss,-5.267386613739291,-1.0312262217353687,2,-0.2116399008388122,ALIGNED,,,,,,,,,,,,,,0.006052873557489773,0.012251811872408487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.012251811872408487,,,,,,,,
L00017,XAU,SHORT,378,2025-04-16T04:20:03+00:00,4,Asia,Wednesday,sub1,EXPIRED,False,,,,,,2,0.23066499733128876,NONE,,,,,,,,,,,,,,0.006052873557489773,0.014136753639844879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.014136753639844879,,,,,,,,
L00018,XAU,SHORT,398,2025-04-16T06:00:03+00:00,6,Asia,Wednesday,sub1,FILLED_CLOSED,True,399.0,402.0,loss,-4.462484833350572,-1.0370672930946743,2,0.06730811899584474,NONE,,,,,,,,,,,,,,0.006052873557489773,0.017718390690715936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.017718390690715936,,,,,,,,
L00019,XAU,SHORT,406,2025-04-16T06:40:03+00:00,6,Asia,Wednesday,sub1,FILLED_CLOSED,True,407.0,410.0,loss,-5.846142631292423,-1.0279578006580623,2,0.32180780955411165,NONE,,,,,,,,,,,,,,0.006052873557489773,0.018276628208240303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.018276628208240303,,,,,,,,
L00020,XAU,SHORT,427,2025-04-16T08:25:03+00:00,8,Londres,Wednesday,sub1,EXPIRED,False,,,,,,2,-0.8408466991272339,NONE,,,,,,,,,,,,,,0.006052873557489773,0.021678997637011314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.021678997637011314,,,,,,,,
L00021,XAU,LONG,466,2025-04-16T11:40:03+00:00,11,Londres,Wednesday,sub1,EXPIRED,False,,,,,,2,-0.3795570499121521,NONE,,,,,,,,,,,,,,0.006052873557489773,0.022633233925979535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006052873557489773,0.022633233925979535,,,,,,,,
L00022,XAU,SHORT,477,2025-04-16T12:35:03+00:00,12,Londres/NY (overlap),Wednesday,sub1,FILLED_CLOSED,True,478.0,493.0,loss,-8.681225430254017,-1.0186570985830992,2,1.7874511715921233,NONE,,,,,,,,,,,,,,0.006052873557489773,0.022849655459395785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.022849655459395785,,,,,,,,
L00023,XAU,SHORT,500,2025-04-16T14:30:03+00:00,14,Londres/NY (overlap),Wednesday,sub1,FILLED_CLOSED,True,501.0,514.0,loss,-9.864892912444702,-1.0164341620621284,2,-2.147112310769095,NONE,,,,,,,,,,,,,,0.006052873557489773,0.024816026215799775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.024816026215799775,,,,,,,,
L00024,XAU,SHORT,526,2025-04-16T16:40:03+00:00,16,Nueva York,Wednesday,sub1,FILLED_CLOSED,True,527.0,546.0,loss,-7.2847549561297456,-1.0224569126917404,2,1.3195564032829439,NONE,,,,,,,,,,,,,,0.006052873557489773,0.028725236918107837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.028725236918107837,,,,,,,,
L00025,XAU,SHORT,562,2025-04-16T19:40:03+00:00,19,Nueva York,Wednesday,sub1,FILLED_CLOSED,True,563.0,568.0,win,3.8554208508594456,0.9602731894538794,2,0.6887392715924011,NONE,,,,,,,,,,,,,,0.006052873557489773,0.033527999187567874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.033527999187567874,,,,,,,,
L00026,XAU,SHORT,591,2025-04-16T23:05:03+00:00,23,Post-NY / transicion,Wednesday,sub1,FILLED_CLOSED,True,592.0,603.0,win,6.9562065120971965,0.9776534947047105,3,1.441329497992254,NONE,,,,,,,,,,,,,,0.03479773410679517,0.00250104871105779,,0.043664978806220694,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03479773410679517,-0.00250104871105779,,-0.043664978806220694,,,,,,
L00027,XAU,LONG,614,2025-04-17T01:00:03+00:00,1,Asia,Thursday,sub1,FILLED_CLOSED,True,615.0,616.0,win,4.310050528402371,0.9642062211638925,3,0.399552332538092,NONE,True,,,,,,,,,,,,,0.03479773410679517,0.0013784341921094954,,0.04249626834987541,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03479773410679517,0.0013784341921094954,,0.04249626834987541,,,,,,
L00028,XAU,LONG,629,2025-04-17T02:15:03+00:00,2,Asia,Thursday,sub1,FILLED_CLOSED,True,630.0,688.0,loss,-15.065642369095713,-1.0107002869052448,3,-2.093653413238971,NONE,True,,,,,,,,,,,,,0.03479773410679517,-0.0018861838825826858,,0.03909760102866442,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03479773410679517,-0.0018861838825826858,,0.03909760102866442,,,,,,
L00029,XAU,LONG,694,2025-04-17T07:40:03+00:00,7,Asia/Londres (overlap),Thursday,sub1,FILLED_CLOSED,True,695.0,705.0,loss,-9.16797797626623,-1.0177055436467701,3,-1.2366838696151876,NONE,True,,,,,,,,,,,,,0.03479773410679517,-0.00567799992699411,,0.03515008833856215,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03479773410679517,-0.00567799992699411,,0.03515008833856215,,,,,,
L00030,XAU,LONG,707,2025-04-17T08:45:03+00:00,8,Londres,Thursday,sub1,EXPIRED,False,,,,,,3,-0.5564708720016018,NONE,True,,,,,,,,,,,,,0.03479773410679517,-0.006276408519184041,,0.03452710835117126,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03479773410679517,-0.006276408519184041,,0.03452710835117126,,,,,,
L00031,XAU,SHORT,739,2025-04-17T11:25:03+00:00,11,Londres,Thursday,sub1,FILLED_CLOSED,True,741.0,742.0,win,4.4044101289291575,0.9651576352974056,3,0.6009282630977115,NONE,False,,,,,,,,,,,,,0.03479773410679517,-0.004562566311152061,,0.036311323035058775,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03479773410679517,0.004562566311152061,,-0.036311323035058775,,,,,,
L00032,XAU,LONG,745,2025-04-17T11:55:03+00:00,11,Londres,Thursday,sub1,EXPIRED,False,,,,,,3,-0.4686854004351629,NONE,True,,,,,,,,,,,,,0.03479773410679517,-0.004436302098199978,,0.036442771812398266,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03479773410679517,-0.004436302098199978,,0.036442771812398266,,,,,,
L00033,XAU,SHORT,750,2025-04-17T12:20:03+00:00,12,Londres/NY (overlap),Thursday,sub1,FILLED_CLOSED,True,758.0,768.0,win,12.930510690704068,0.9878151360019114,3,-0.4608794284884992,NONE,False,,,,,,,,,,,,,0.03479773410679517,-0.004207410811687368,,0.03668106165757524,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03479773410679517,0.004207410811687368,,-0.03668106165757524,,,,,,
L00034,XAU,LONG,784,2025-04-17T15:10:03+00:00,15,Londres/NY (overlap),Thursday,sub1,FILLED_CLOSED,True,786.0,803.0,win,15.540510607605029,0.989840771195244,3,-0.8839318271092858,NONE,True,,,,,,,,,,,,,0.03479773410679517,-0.011597158516640775,,0.02898788179328524,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03479773410679517,-0.011597158516640775,,0.02898788179328524,,,,,,
L00035,XAU,SHORT,915,2025-04-21T03:10:03+00:00,3,Asia,Monday,sub1,FILLED_CLOSED,True,916.0,925.0,win,3.776544023865881,0.9595989781754546,4,-0.3115802117675261,ALIGNED,,,,,,,,,,,,,,-0.004346540809371571,0.016103154428427642,0.03653621881050681,0.04689102262425508,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004346540809371571,-0.016103154428427642,-0.03653621881050681,-0.04689102262425508,,,,,,
L00036,XAU,SHORT,968,2025-04-21T07:35:03+00:00,7,Asia/Londres (overlap),Monday,sub1,EXPIRED,False,,,,,,4,-0.5838889031692432,NONE,,,,,,,,,,,,,,-0.004346540809371571,0.01958907596333897,0.03653621881050681,0.05048256738481048,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004346540809371571,-0.01958907596333897,-0.03653621881050681,-0.05048256738481048,,,,,,
L00037,XAU,SHORT,994,2025-04-21T09:45:03+00:00,9,Londres,Monday,sub1,FILLED_CLOSED,True,995.0,1000.0,loss,-3.6246983701594218,-1.0461800661719611,4,-0.07539818325088972,NONE,,,,,,,,,,,,,,-0.004346540809371571,0.019620629563439466,0.03653621881050681,0.05051507705721207,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004346540809371571,-0.019620629563439466,-0.03653621881050681,-0.05051507705721207,,,,,,
L00038,XAU,SHORT,1003,2025-04-21T10:30:03+00:00,10,Londres,Monday,sub1,EXPIRED,False,,,,,,4,0.14736440244820084,ALIGNED,,,,,,,,,,,,,,-0.004346540809371571,0.0202495979921092,0.03653621881050681,0.05116310319375017,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004346540809371571,-0.0202495979921092,-0.03653621881050681,-0.05116310319375017,,,,,,
L00039,XAU,LONG,1014,2025-04-21T11:25:03+00:00,11,Londres,Monday,sub1,EXPIRED,False,,,,,,4,-0.36728007175290966,OPPOSED,,,,,,,,,,,,,,-0.004346540809371571,0.019507938134509142,0.03653621881050681,0.050398971084349285,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004346540809371571,0.019507938134509142,0.03653621881050681,0.050398971084349285,,,,,,
L00040,XAU,SHORT,1025,2025-04-21T12:20:03+00:00,12,Londres/NY (overlap),Monday,sub1,FILLED_CLOSED,True,1026.0,1030.0,loss,-6.740272676055156,-1.024159460916752,4,-0.9256475851422156,NONE,,,,,,,,,,,,,,-0.004346540809371571,0.021834189738108172,0.03653621881050681,0.05279570798016476,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004346540809371571,-0.021834189738108172,-0.03653621881050681,-0.05279570798016476,,,,,,
L00041,XAU,SHORT,1039,2025-04-21T13:30:03+00:00,13,Londres/NY (overlap),Monday,sub1,FILLED_CLOSED,True,1040.0,1043.0,loss,-11.916400203887406,-1.0135233977956346,4,-0.08783804288583756,NONE,,,,,,,,,,,,,,-0.004346540809371571,0.024048951954685437,0.03653621881050681,0.05507757736682796,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004346540809371571,-0.024048951954685437,-0.03653621881050681,-0.05507757736682796,,,,,,
L00042,XAU,SHORT,1052,2025-04-21T14:35:03+00:00,14,Londres/NY (overlap),Monday,sub1,EXPIRED,False,,,,,,4,0.3746793243891401,ALIGNED,,,,,,,,,,,,,,-0.004346540809371571,0.02777047370368046,0.03653621881050681,0.058911861014648514,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004346540809371571,-0.02777047370368046,-0.03653621881050681,-0.058911861014648514,,,,,,
L00043,XAU,SHORT,1110,2025-04-21T19:25:03+00:00,19,Nueva York,Monday,sub1,EXPIRED,False,,,,,,4,1.2195199717709357,NONE,,,,,,,,,,,,,,-0.004346540809371571,0.028414768166684836,0.03653621881050681,0.05957567756349607,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004346540809371571,-0.028414768166684836,-0.03653621881050681,-0.05957567756349607,,,,,,
L00044,XAU,SHORT,1142,2025-04-21T23:05:03+00:00,23,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,1143.0,1144.0,loss,-5.588051997335697,-1.0294765046610432,5,0.998879774980988,NONE,,,,,,,,,,,,,,0.02921082042064861,0.0016675061133617389,0.060395850155798736,0.02644606932324175,,0.06859321151167326,,,,,,,,,,,,,,,,,,,,,,,,,-0.02921082042064861,-0.0016675061133617389,-0.060395850155798736,-0.02644606932324175,,-0.06859321151167326,,,,
L00045,XAU,SHORT,1150,2025-04-21T23:45:03+00:00,23,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,1152.0,1153.0,win,7.139874303127272,0.9781488120246932,5,-1.4509138799982613,NONE,,,,,,,,,,,,,,0.02921082042064861,0.003323916931274868,0.060395850155798736,0.028143455294988552,,0.07036029424590758,,,,,,,,,,,,,,,,,,,,,,,,,-0.02921082042064861,-0.003323916931274868,-0.060395850155798736,-0.028143455294988552,,-0.07036029424590758,,,,
L00046,XAU,LONG,1157,2025-04-22T00:20:03+00:00,0,Asia,Tuesday,sub1,FILLED_CLOSED,True,1158.0,1172.0,win,16.835653246267157,0.9905858281713886,5,-1.6238731141289489,NONE,,,,,,,,,,,,,,0.02921082042064861,0.001836563378225472,0.060395850155798736,0.026619308610680785,,0.06877356421802298,,,,,,,,,,,,,,,,,,,,,,,,,0.02921082042064861,0.001836563378225472,0.060395850155798736,0.026619308610680785,,0.06877356421802298,,,,
L00047,XAU,SHORT,1178,2025-04-22T02:05:03+00:00,2,Asia,Tuesday,sub1,FILLED_CLOSED,True,1179.0,1181.0,loss,-10.529776563770156,-1.015331542341304,5,-1.5095629778703288,NONE,,,,,,,,,,,,,,0.02921082042064861,0.0057552465418445305,0.060395850155798736,0.03063492946857126,,0.07295407142340946,,,,,,,,,,,,,,,,,,,,,,,,,-0.02921082042064861,-0.0057552465418445305,-0.060395850155798736,-0.03063492946857126,,-0.07295407142340946,,,,
L00048,XAU,SHORT,1203,2025-04-22T04:10:03+00:00,4,Asia,Tuesday,sub1,FILLED_CLOSED,True,1204.0,1224.0,loss,-11.794083880924063,-1.0136655654249584,5,0.9172807348049911,NONE,,,,,,,,,,,,,,0.02921082042064861,0.016590386510456634,0.060395850155798736,0.04173810169235943,,0.08451315359945376,,,,,,,,,,,,,,,,,,,,,,,,,-0.02921082042064861,-0.016590386510456634,-0.060395850155798736,-0.04173810169235943,,-0.08451315359945376,,,,
L00049,XAU,SHORT,1229,2025-04-22T06:20:03+00:00,6,Asia,Tuesday,sub1,EXPIRED,False,,,,,,5,-1.1913564359258433,ALIGNED,,,,,,,,,,,,,,0.02921082042064861,0.017818752509215677,0.060395850155798736,0.04299685416603091,,0.08582359200293044,,,,,,,,,,,,,,,,,,,,,,,,,-0.02921082042064861,-0.017818752509215677,-0.060395850155798736,-0.04299685416603091,,-0.08582359200293044,,,,
L00050,XAU,LONG,1294,2025-04-22T11:45:03+00:00,11,Londres,Tuesday,sub1,EXPIRED,False,,,,,,5,0.7642822628074762,ALIGNED,,,,,,,,,,,,,,0.02921082042064861,0.009070112047884916,0.060395850155798736,0.03403179584213742,,0.07649041732183384,,,,,,,,,,,,,,,,,,,,,,,,,0.02921082042064861,0.009070112047884916,0.060395850155798736,0.03403179584213742,,0.07649041732183384,,,,
L00051,XAU,SHORT,1298,2025-04-22T12:05:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,1299.0,1300.0,loss,-5.963489348211169,-1.027569620688486,5,0.3207200298093579,NONE,,,,,,,,,,,,,,0.02921082042064861,0.008887915617358313,0.060395850155798736,0.03384509236137422,,0.07629604756576795,,,,,,,,,,,,,,,,,,,,,,,,,-0.02921082042064861,-0.008887915617358313,-0.060395850155798736,-0.03384509236137422,,-0.07629604756576795,,,,
L00052,XAU,SHORT,1301,2025-04-22T12:20:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,1302.0,1305.0,win,8.80728224343693,0.982266897730546,5,-0.42391511378244034,NONE,,,,,,,,,,,,,,0.02921082042064861,0.008280302200810226,0.060395850155798736,0.03322244822120056,,0.0756478368888877,,,,,,,,,,,,,,,,,,,,,,,,,-0.02921082042064861,-0.008280302200810226,-0.060395850155798736,-0.03322244822120056,,-0.0756478368888877,,,,
L00053,XAU,LONG,1311,2025-04-22T13:10:03+00:00,13,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,1312.0,1317.0,loss,-20.980213809464203,-1.0076364424021895,5,-1.2787209092300562,NONE,,,,,,,,,,,,,,0.02921082042064861,0.005382094237015947,0.060395850155798736,0.030252546378161955,,0.07255598721146675,,,,,,,,,,,,,,,,,,,,,,,,,0.02921082042064861,0.005382094237015947,0.060395850155798736,0.030252546378161955,,0.07255598721146675,,,,
L00054,XAU,LONG,1321,2025-04-22T14:00:03+00:00,14,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,1322.0,1345.0,loss,-21.171952539078575,-1.0075667614869424,5,-1.260895788888223,NONE,,,,,,,,,,,,,,0.02921082042064861,0.001701375962626439,0.060395850155798736,0.026480777021588894,,0.06862934435094208,,,,,,,,,,,,,,,,,,,,,,,,,0.02921082042064861,0.001701375962626439,0.060395850155798736,0.026480777021588894,,0.06862934435094208,,,,
L00055,XAU,LONG,1359,2025-04-22T17:10:03+00:00,17,Nueva York,Tuesday,sub1,FILLED_CLOSED,True,1370.0,1387.0,loss,-22.711402964528133,-1.0070725738865864,5,-0.1471368986793959,NONE,,,,,,,,,,,,,,0.02921082042064861,-0.008259279535749424,0.060395850155798736,0.016273721664605247,,0.05800317470601574,,,,,,,,,,,,,,,,,,,,,,,,,0.02921082042064861,-0.008259279535749424,0.060395850155798736,0.016273721664605247,,0.05800317470601574,,,,
L00056,XAU,LONG,1393,2025-04-22T20:00:03+00:00,20,Nueva York,Tuesday,sub1,FILLED_CLOSED,True,1401.0,1405.0,loss,-10.491090211946357,-1.0154380881091587,5,-0.5513237531472576,ALIGNED,,,,,,,,,,,,,,0.02921082042064861,-0.013553195372093907,0.060395850155798736,0.010848848572107342,,0.05235554963032357,,,,,,,,,,,,,,,,,,,,,,,,,0.02921082042064861,-0.013553195372093907,0.060395850155798736,0.010848848572107342,,0.05235554963032357,,,,
L00057,XAU,LONG,1418,2025-04-22T23:05:03+00:00,23,Post-NY / transicion,Tuesday,sub1,FILLED_CLOSED,True,1423.0,1435.0,win,18.698545201028473,0.9118597078905134,6,1.316431432792987,NONE,,,,,,,,,,,,,,-0.012700025548377706,-0.012235836325948614,0.011723123525296838,0.003706496225137728,0.053265723391901665,0.03411874637749368,,,,,,,,,,,,,,,,,,,,,,,,,-0.012700025548377706,-0.012235836325948614,0.011723123525296838,0.003706496225137728,0.053265723391901665,0.03411874637749368,,,,
L00058,XAU,SHORT,1447,2025-04-23T01:30:03+00:00,1,Asia,Wednesday,sub1,FILLED_CLOSED,True,1448.0,1449.0,loss,-17.01243647269257,-1.0094642260272086,6,-0.6825241709537874,NONE,,,,,,,,,,,,,,-0.012700025548377706,-0.0056612997241658,0.011723123525296838,0.01038714464260441,0.053265723391901665,0.04100181806472703,,,,,,,,,,,,,,,,,,,,,,,,,0.012700025548377706,0.0056612997241658,-0.011723123525296838,-0.01038714464260441,-0.053265723391901665,-0.04100181806472703,,,,
L00059,XAU,SHORT,1454,2025-04-23T02:05:03+00:00,2,Asia,Wednesday,sub1,FILLED_CLOSED,True,1455.0,1461.0,win,12.312691442687537,0.987211549731842,6,0.059690328932876506,NONE,,,,,,,,,,,,,,-0.012700025548377706,-0.002440424454046693,0.011723123525296838,0.013660004249218188,0.053265723391901665,0.04437384513258991,,,,,,,,,,,,,,,,,,,,,,,,,0.012700025548377706,0.002440424454046693,-0.011723123525296838,-0.013660004249218188,-0.053265723391901665,-0.04437384513258991,,,,
