candidate,cohort,universe,N,pct,N_LONG,N_SHORT,fill_rate,wins,losses,timeouts,WR,pnl_total,pnl_mean,pnl_median,PF,ExpR,ExpR_LONG,WR_LONG,ExpR_SHORT,WR_SHORT
D_UTC00,no_D_check,B,1767,,810.0,957.0,,877.0,888.0,2.0,0.49632144878324846,-609.367455286897,-0.34485990678375605,-1.479191840155636,0.9368976464479245,-0.03877651458544193,-0.07051609947320518,0.4802469135802469,-0.011912289131849213,0.509926854754441
D_UTC00,AGAINST,B,1765,,810.0,955.0,,876.0,887.0,2.0,0.4963172804532578,-609.105786954186,-0.3451024288692272,-1.479191840155636,0.9369059175848761,-0.03875473655874498,-0.07051609947320518,0.4802469135802469,-0.011815779531820603,0.5099476439790576
D_UTC00,UNAVAILABLE,B,2,,0.0,2.0,,1.0,1.0,0.0,0.5,-0.26166833271099676,-0.13083416635549838,-0.13083416635549838,0.9091852086781402,-0.05799562314550838,,,-0.05799562314550838,0.5
D_NY18,D_check,B,674,,363.0,311.0,,325.0,348.0,1.0,0.4821958456973294,-987.2837880842669,-1.4648127419647876,-2.1510868372249012,0.7534914293181793,-0.06905570666052241,-0.13723199153162247,0.4490358126721763,0.010519828414105592,0.5209003215434084
D_NY18,no_D_check,B,1800,,826.0,974.0,,895.0,903.0,2.0,0.49722222222222223,-390.7614991805933,-0.21708972176699629,-1.4528976975507248,0.9595220594882576,-0.037707016731222114,-0.08406929613890982,0.4745762711864407,0.0016104810005541316,0.5164271047227926
D_NY18,AGAINST,B,1799,,826.0,973.0,,894.0,903.0,2.0,0.49694274596998333,-393.38117130908097,-0.21866657660315786,-1.4560520673117026,0.9592506946460213,-0.03825193936889462,-0.08406929613890982,0.4745762711864407,0.0006433706948593096,0.5159301130524152
D_NY18,UNAVAILABLE,B,1,,0.0,1.0,,1.0,0.0,0.0,1.0,2.619672128487764,2.619672128487764,2.619672128487764,inf,0.9426088084416148,,,0.9426088084416148,1.0
HCH,HCH_check,B,161,,70.0,91.0,,87.0,74.0,0.0,0.5403726708074534,-49.757819058569936,-0.30905477676130394,1.463535918835987,0.9220576652645724,0.025069896833266703,-0.055567922157297396,0.5,0.08709898836446985,0.5714285714285714
HCH,no_HCH_check,B,2313,,1119.0,1194.0,,1133.0,1177.0,3.0,0.4898400345871163,-1328.2874682062902,-0.574270414269905,-2.182631315197796,0.897983863541134,-0.0512115995657362,-0.1030980312651543,0.4647006255585344,-0.002584365837387104,0.5134003350083752
COMBO,D+HCH,B,96,,44.0,52.0,,49.0,47.0,0.0,0.5104166666666666,-157.0721531214236,-1.6361682616814959,0.9721614625927941,0.6843491199842306,-0.033475095752724025,-0.19455476165040564,0.4318181818181818,0.10282308308377577,0.5769230769230769
