scope,variable,categoria,pct_winners,pct_losers,n_winners,n_losers
sub1,session_utc,Nueva York,9.438775510204081,12.984054669703873,37,57
sub1,session_utc,Londres,13.77551020408163,12.756264236902052,54,56
sub1,session_utc,Londres/NY (overlap),30.102040816326532,30.979498861047837,118,136
sub1,session_utc,Asia,28.316326530612244,30.068337129840543,111,132
sub1,session_utc,Post-NY / transicion,15.051020408163266,11.161731207289293,59,49
sub1,session_utc,Asia/Londres (overlap),3.316326530612245,2.050113895216401,13,9
sub1,weekday,Miercoles,20.408163265306122,22.323462414578586,80,98
sub1,weekday,Lunes,20.918367346938776,19.134396355353076,82,84
sub1,weekday,Martes,21.93877551020408,21.64009111617312,86,95
sub1,weekday,Jueves,21.683673469387756,17.995444191343964,85,79
sub1,weekday,Viernes,12.5,17.76765375854214,49,78
sub1,weekday,Domingo,2.5510204081632653,1.1389521640091116,10,5
sub1,d1_trend,insuficiente,1.530612244897959,2.733485193621868,6,12
sub1,d1_trend,alcista,15.306122448979592,15.717539863325742,60,69
sub1,d1_trend,bajista,11.224489795918368,10.933940774487471,44,48
sub1,d1_trend,sin_secuencia,71.93877551020408,70.61503416856492,282,310
sub1,aligned_with_d1,False,11.224489795918368,15.034168564920272,44,66
sub1,aligned_with_d1,True,15.306122448979592,11.617312072892938,60,51
sub1,aligned_with_d1,nan,73.46938775510205,73.34851936218679,288,322
sub1,divergencia_score,0,79.59183673469387,78.13211845102505,312,343
sub1,divergencia_score,1,16.581632653061224,17.76765375854214,65,78
sub1,divergencia_score,-1,3.826530612244898,4.100227790432802,15,18
sub1,tendencia_score,0,91.58163265306123,88.8382687927107,359,390
sub1,tendencia_score,1,0.5102040816326531,0.22779043280182232,2,1
sub1,tendencia_score,-1,7.908163265306123,10.933940774487471,31,48
sub1,nodo_score,0,11.989795918367346,15.034168564920272,47,66
sub1,nodo_score,-1,88.01020408163265,84.96583143507974,345,373
sub2,direction,SHORT,58.70646766169154,52.87671232876713,236,193
sub2,direction,LONG,41.29353233830846,47.12328767123288,166,172
sub2,session_utc,Nueva York,15.422885572139302,12.054794520547945,62,44
sub2,session_utc,Londres,15.422885572139302,13.150684931506849,62,48
sub2,session_utc,Londres/NY (overlap),29.35323383084577,30.958904109589042,118,113
sub2,session_utc,Asia,27.611940298507463,31.506849315068493,111,115
sub2,session_utc,Post-NY / transicion,8.955223880597014,8.767123287671232,36,32
sub2,session_utc,Asia/Londres (overlap),3.233830845771144,3.5616438356164384,13,13
sub2,weekday,Miercoles,19.900497512437813,21.91780821917808,80,80
sub2,weekday,Lunes,19.402985074626866,18.63013698630137,78,68
sub2,weekday,Martes,19.65174129353234,19.726027397260275,79,72
sub2,weekday,Jueves,21.144278606965177,19.726027397260275,85,72
sub2,weekday,Viernes,18.65671641791045,18.63013698630137,75,68
sub2,weekday,Domingo,1.2437810945273633,1.36986301369863,5,5
sub2,d1_trend,bajista,5.970149253731343,8.493150684931507,24,31
sub2,d1_trend,alcista,22.388059701492537,22.465753424657535,90,82
sub2,d1_trend,sin_secuencia,71.64179104477611,69.04109589041096,288,252
sub2,aligned_with_d1,False,13.184079601990051,19.17808219178082,53,70
sub2,aligned_with_d1,True,15.17412935323383,11.78082191780822,61,43
sub2,aligned_with_d1,nan,71.64179104477611,69.04109589041096,288,252
sub2,divergencia_score,0,82.08955223880598,80.82191780821918,330,295
sub2,divergencia_score,1,15.17412935323383,14.246575342465754,61,52
sub2,divergencia_score,-1,2.736318407960199,4.931506849315069,11,18
sub2,tendencia_score,0,90.04975124378109,90.95890410958904,362,332
sub2,tendencia_score,1,0.0,0.273972602739726,0,1
sub2,tendencia_score,-1,9.950248756218906,8.767123287671232,40,32
sub2,nodo_score,0,10.44776119402985,10.136986301369863,42,37
sub2,nodo_score,-1,89.55223880597015,89.86301369863014,360,328
sub3,direction,SHORT,52.112676056338024,42.505592841163306,222,190
sub3,direction,LONG,47.88732394366197,57.494407158836694,204,257
sub3,session_utc,Nueva York,8.450704225352112,11.185682326621924,36,50
sub3,session_utc,Londres,14.553990610328638,11.856823266219239,62,53
sub3,session_utc,Londres/NY (overlap),30.985915492957744,27.740492170022375,132,124
sub3,session_utc,Asia,30.28169014084507,32.21476510067114,129,144
sub3,session_utc,Post-NY / transicion,13.145539906103288,12.97539149888143,56,58
sub3,session_utc,Asia/Londres (overlap),2.5821596244131455,4.026845637583892,11,18
sub3,weekday,Miercoles,20.89201877934272,19.015659955257274,89,85
sub3,weekday,Lunes,23.004694835680752,16.55480984340045,98,74
sub3,weekday,Martes,21.5962441314554,24.384787472035793,92,109
sub3,weekday,Jueves,19.953051643192488,18.79194630872483,85,84
sub3,weekday,Viernes,12.910798122065728,18.344519015659955,55,82
sub3,weekday,Domingo,1.643192488262911,2.9082774049217,7,13
sub3,d1_trend,bajista,11.737089201877934,11.6331096196868,50,52
