variable,bucket,n_trades,pct_sample,win_rate,profit_factor,expectancy_r,avg_r,net_r,net_usd,pct_sub1,pct_sub2,pct_sub3
session_utc,Londres,335,13.540824575586097,0.5313432835820896,1.0460716831071981,0.022436853696771734,0.022436853696771734,7.516345988418531,59.24443606909563,32.83582089552239,32.83582089552239,34.32835820895522
session_utc,Londres/NY (overlap),743,30.032336297493938,0.4966261808367072,0.9398382018652668,-0.030950135170661353,-0.030950135170661353,-22.995950431801386,-435.6670141034559,34.185733512786,31.22476446837147,34.58950201884253
session_utc,Nueva York,287,11.60064672594988,0.47202797202797203,0.8384760835411343,-0.08788281276896033,-0.08788281276896033,-25.222367264691616,-145.16044937822184,32.752613240418114,37.282229965156795,29.965156794425084
session_utc,Post-NY / transicion,290,11.721907841552143,0.5206896551724138,0.9529723740786951,-0.02407705394836225,-0.02407705394836225,-6.9823456450250525,-54.707937258900984,37.24137931034483,23.448275862068964,39.310344827586206
hour_utc,00h,154,6.224737267582862,0.487012987012987,0.8903545256698724,-0.05818858978092585,-0.05818858978092585,-8.961042826262581,152.7769172696876,23.376623376623375,29.87012987012987,46.75324675324675
hour_utc,01h,173,6.992724333063864,0.4682080924855491,0.8390535916185212,-0.08746243821721125,-0.08746243821721125,-15.131001811577546,-490.39172817406325,33.52601156069364,34.104046242774565,32.369942196531795
hour_utc,02h,126,5.092966855295069,0.49206349206349204,0.9212666320781789,-0.040976336961134195,-0.040976336961134195,-5.1630184571029085,-299.080433698703,37.301587301587304,29.365079365079367,33.33333333333333
hour_utc,03h,76,3.0719482619240095,0.4473684210526316,0.7646885245022427,-0.1337536519683582,-0.1337536519683582,-10.165277549595222,-144.6084397800496,27.631578947368425,35.526315789473685,36.84210526315789
hour_utc,04h,61,2.465642683912692,0.3114754098360656,0.4223285895450933,-0.41292101524763186,-0.41292101524763186,-25.188181930105543,-206.31400535154626,44.26229508196721,31.147540983606557,24.59016393442623
hour_utc,05h,76,3.0719482619240095,0.5,0.9292318170242228,-0.03658871529545569,-0.03658871529545569,-2.7807423624546326,-119.6299670462373,38.15789473684211,22.36842105263158,39.473684210526315
hour_utc,06h,76,3.0719482619240095,0.5526315789473685,1.171817721179184,0.07913831412726692,0.07913831412726692,6.014511873672286,243.46940906527334,32.89473684210527,27.631578947368425,39.473684210526315
hour_utc,07h,77,3.112368633791431,0.4805194805194805,0.8744201352897122,-0.06696670444073395,-0.06696670444073395,-5.156436241936515,64.4109251222617,28.57142857142857,33.76623376623377,37.66233766233766
