cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,n_trades,n_win,n_loss,win_rate,profit_factor,expectancy_r,net_r,net_usd,avg_winner_r,avg_loser_r,max_drawdown_r,max_drawdown_usd,longest_losing_streak,total_costs_usd,swap_total_usd,commission_total_usd,n_long,n_short
cfg_0061,8,200,1.7,1.5,2,3631,1440,2190,0.39669421487603307,0.9290796983998064,-0.04428649976299141,-160.80428063942182,-1381.0220597885493,1.4624361248640305,-1.0353398181814721,173.45000548597503,1633.6915784043115,13,884.7625000000596,-132.05500000000015,0.0,1831,1800
cfg_0062,8,200,1.7,1.5,3,3631,1440,2190,0.39669421487603307,0.9290796983998064,-0.04428649976299141,-160.80428063942182,-1381.0220597885493,1.4624361248640305,-1.0353398181814721,173.45000548597503,1633.6915784043115,13,884.7625000000596,-132.05500000000015,0.0,1831,1800
cfg_0063,8,200,1.7,2.0,1,2880,953,1925,0.3311327310632384,0.9394140517015351,-0.04189459244966591,-120.65642625503783,-1346.4468280092563,1.9614729485843365,-1.034541255025971,133.24419479522777,1613.067204850045,16,732.1280000000295,-138.5230000000001,0.0,1441,1439
cfg_0064,8,200,1.7,2.0,2,2880,953,1925,0.3311327310632384,0.9394140517015351,-0.04189459244966591,-120.65642625503783,-1346.4468280092563,1.9614729485843365,-1.034541255025971,133.24419479522777,1613.067204850045,16,732.1280000000295,-138.5230000000001,0.0,1441,1439
cfg_0065,8,200,1.7,2.0,3,2880,953,1925,0.3311327310632384,0.9394140517015351,-0.04189459244966591,-120.65642625503783,-1346.4468280092563,1.9614729485843365,-1.034541255025971,133.24419479522777,1613.067204850045,16,732.1280000000295,-138.5230000000001,0.0,1441,1439
cfg_0066,8,200,1.7,2.5,1,2355,643,1705,0.27385008517887566,0.9005415287668077,-0.07455316157165608,-175.57269550125005,-1560.005517614108,2.4608894480044,-1.0353586446732714,176.45444900904772,1652.717860973737,17,643.6030000000458,-153.07599999999994,0.0,1205,1150
cfg_0067,8,200,1.7,2.5,2,2355,643,1705,0.27385008517887566,0.9005415287668077,-0.07455316157165608,-175.57269550125005,-1560.005517614108,2.4608894480044,-1.0353586446732714,176.45444900904772,1652.717860973737,17,643.6030000000458,-153.07599999999994,0.0,1205,1150
cfg_0068,8,200,1.7,2.5,3,2355,643,1705,0.27385008517887566,0.9005415287668077,-0.07455316157165608,-175.57269550125005,-1560.005517614108,2.4608894480044,-1.0353586446732714,176.45444900904772,1652.717860973737,17,643.6030000000458,-153.07599999999994,0.0,1205,1150
cfg_0069,8,200,1.7,3.0,1,1984,463,1511,0.23454913880445796,0.882598353691832,-0.09259309259866876,-183.70469571575882,-1971.4298190374652,2.959840730145715,-1.0355751160905566,193.95849889537152,2232.413661015673,35,571.0515000000319,-159.00499999999997,0.0,1011,973
cfg_0070,8,200,1.7,3.0,2,1984,463,1511,0.23454913880445796,0.882598353691832,-0.09259309259866876,-183.70469571575882,-1971.4298190374652,2.959840730145715,-1.0355751160905566,193.95849889537152,2232.413661015673,35,571.0515000000319,-159.00499999999997,0.0,1011,973
