cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,full_expectancy_r,full_n_trades,sub1_expectancy_r,sub1_n_trades,sub2_expectancy_r,sub2_n_trades,sub3_expectancy_r,sub3_n_trades,positive_subperiods
cfg_3081,20,800,1.7,1.0,-0.0278144610129082,1877,-0.10129025148500698,619,0.05032490784733767,607,-0.0277640855174972,651,1
cfg_3084,20,800,1.7,1.5,-0.0663815117171391,1625,-0.1726207557405736,541,0.0378326010223866,524,-0.05383531428226568,566,1
cfg_3087,20,800,1.7,2.0,-0.0927757452964243,1328,-0.14442051584361987,462,-0.03560518603065492,422,-0.0947642729682242,451,0
cfg_3090,20,800,1.7,2.5,-0.0761819965116461,1131,-0.15298857529430457,404,-0.05131482119220097,343,-0.01794532625001694,391,0
cfg_3093,20,800,1.7,3.0,-0.0547203749475703,977,-0.09030653512216848,362,-0.041145709762580154,296,-0.020774355652702657,325,0
cfg_3096,20,800,2.2,0.5,0.0073126260808192,2063,-0.024809677583493357,665,0.03694154614939759,665,0.012251794999621689,734,2
cfg_3099,20,800,2.2,1.0,-0.0288881164795678,1852,-0.107082794268295,606,0.046915243874541,600,-0.022872285366538184,646,1
cfg_3102,20,800,2.2,1.5,-0.0672274745599611,1581,-0.1705022941699503,523,0.03400364688920231,512,-0.05745370085783371,553,1
cfg_3105,20,800,2.2,2.0,-0.0925524130192132,1293,-0.15537519765639748,444,-0.032974863505883224,412,-0.08639542873616514,444,0
cfg_3108,20,800,2.2,2.5,-0.064699485792064,1100,-0.13650252658392562,389,-0.05412162612711043,337,0.0025202576375011466,380,1
cfg_3111,20,800,2.2,3.0,-0.0583218810727496,957,-0.08777775209332377,349,-0.04925133318166715,295,-0.027570323405740275,319,0
cfg_3114,20,800,2.7,0.5,0.0062641711188409,2051,-0.02515048201858274,660,0.034079302168016,663,0.012109145459012998,729,2
cfg_3117,20,800,2.7,1.0,-0.0306607908150128,1827,-0.11436347217193411,594,0.04477189484844847,594,-0.021468517715747922,640,1
cfg_3120,20,800,2.7,1.5,-0.0564444540437356,1544,-0.15218038755340657,507,0.04349777356541584,503,-0.05380265672328313,541,1
cfg_3123,20,800,2.7,2.0,-0.083687483829516,1269,-0.16390303427032837,435,-0.005497819121337532,404,-0.07763424477203983,437,0
cfg_3126,20,800,2.7,2.5,-0.0584471790285282,1079,-0.12602191777364566,377,-0.060168449142007106,332,0.014032103087623692,376,1
cfg_3129,20,800,2.7,3.0,-0.0722478658110689,934,-0.11885576076687734,335,-0.022072758154558097,291,-0.05863606242791419,313,0
cfg_3132,20,800,3.2,0.5,0.000756894192902,2033,-0.034688213607714034,652,0.027743475186359175,663,0.010760784104488315,719,2
cfg_3135,20,800,3.2,1.0,-0.0375372700485698,1805,-0.13164117121489546,591,0.04407660731568197,589,-0.023919320797048654,626,1
cfg_3138,20,800,3.2,1.5,-0.0554628235980202,1503,-0.15561139960813736,502,0.032376302646385066,487,-0.03499246722193667,521,1
cfg_3141,20,800,3.2,2.0,-0.0814910606559026,1230,-0.14843556867022814,426,-0.04619610823793064,384,-0.047993250021234286,427,0
cfg_3144,20,800,3.2,2.5,-0.0562255437235551,1054,-0.09771923922252783,368,-0.0637748349055512,326,-0.004492520776744728,366,0
cfg_3147,20,800,3.2,3.0,-0.0547217364994175,915,-0.09656144619282753,329,0.0025028973819963235,284,-0.05249295913344096,307,1
cfg_3150,23,200,0.2,0.5,-0.0042099938802006,3141,-0.027395357998745356,1034,0.019393323653201528,1021,-0.0034373082695963574,1088,1
cfg_3153,23,200,0.2,1.0,-0.0445488554276607,2418,-0.08694116601544422,850,0.013192193400100409,732,-0.05078957006079761,837,1
cfg_3156,23,200,0.2,1.5,-0.0437177317966346,1831,-0.11410115036183248,633,0.0659211703257525,557,-0.0644840089229108,648,1
cfg_3159,23,200,0.2,2.0,-0.0847549311773911,1515,-0.11775629178479519,529,-0.0275314589106295,444,-0.089495595252958,549,0
cfg_3162,23,200,0.2,2.5,-0.0711877656997307,1301,-0.08493817190167804,478,-0.031841845867249814,382,-0.093862636685658,450,0
cfg_3165,23,200,0.2,3.0,-0.0817849588469075,1125,-0.03803443548836292,423,-0.047029719398523365,320,-0.15702463869551248,390,0
cfg_3168,23,200,0.7,0.5,-0.0081689833951954,3112,-0.0346014859468146,1022,0.0138148490554661,1016,-0.0029149615328345345,1076,1
cfg_3171,23,200,0.7,1.0,-0.0469579777678701,2369,-0.10049849517809657,822,0.008705226315468259,730,-0.04159247682424932,818,1
cfg_3174,23,200,0.7,1.5,-0.0591028817308635,1785,-0.13129942717912188,616,0.031031933856748895,545,-0.06143203315895818,631,1
cfg_3177,23,200,0.7,2.0,-0.1112195756260352,1485,-0.17341470230801154,515,-0.05379400059401963,441,-0.08836260462350021,536,0
cfg_3180,23,200,0.7,2.5,-0.0785468609332353,1283,-0.09503063480415024,473,-0.04832286042872349,378,-0.09049118430506183,441,0
cfg_3183,23,200,0.7,3.0,-0.0858310572785635,1113,-0.04733153738988099,423,-0.056827205093445916,315,-0.1512733781839988,383,0
cfg_3186,23,200,1.2,0.5,-0.0091300482771788,3080,-0.03977426932521103,1011,0.017127381078015317,1007,-0.0039441395391390304,1064,1
cfg_3189,23,200,1.2,1.0,-0.0497045087559026,2300,-0.08590126595056193,795,0.004742678823095237,710,-0.06084101566315937,796,1
cfg_3192,23,200,1.2,1.5,-0.0617673894611555,1758,-0.13675746482830006,604,0.020235764692889388,539,-0.05484523199617451,622,1
cfg_3195,23,200,1.2,2.0,-0.1176733950223761,1451,-0.1603428567680451,508,-0.1075878124994116,431,-0.08705877267646561,520,0
cfg_3198,23,200,1.2,2.5,-0.0676592992181427,1248,-0.0780152442192092,458,-0.05252117234627388,362,-0.07108594329173104,436,0
cfg_3201,23,200,1.2,3.0,-0.0984457040440486,1086,-0.05887984743949845,404,-0.0764517135988272,313,-0.15780769751341647,377,0
cfg_3204,23,200,1.7,0.5,-0.008586886547604,3044,-0.046358589623802605,1000,0.016169488326443587,1008,0.004702912011400255,1038,2
cfg_3207,23,200,1.7,1.0,-0.0538319904323424,2257,-0.10948153893672176,770,0.001845347981345175,702,-0.04774287707625411,786,1
cfg_3210,23,200,1.7,1.5,-0.0608691746355751,1716,-0.1169438241660707,581,0.02050859628685733,536,-0.073779135034446,606,1
cfg_3213,23,200,1.7,2.0,-0.105779961359033,1411,-0.14113577168159583,481,-0.10066422050381815,428,-0.07962777812640025,510,0
cfg_3216,23,200,1.7,2.5,-0.0557515371391375,1219,-0.07318983849669099,445,-0.05114262626980794,358,-0.04329143147832492,424,0
cfg_3219,23,200,1.7,3.0,-0.0943851725385747,1055,-0.04851108763852164,383,-0.07076117497901438,307,-0.15964051274507945,373,0
cfg_3222,23,200,2.2,0.5,-0.0004918024569082,3026,-0.03201268002600876,991,0.025183788557450862,1006,0.005686417070586719,1031,2
cfg_3225,23,200,2.2,1.0,-0.0412816447635065,2221,-0.10604147878591162,758,0.017437804170285537,692,-0.029022938156629326,772,1
cfg_3228,23,200,2.2,1.5,-0.0597145101860557,1682,-0.10649830407446766,570,0.025466872828910848,529,-0.08713862059578383,591,1
cfg_3231,23,200,2.2,2.0,-0.0959972915100006,1378,-0.14152476035372882,475,-0.07537125391028901,420,-0.07272457803373851,491,0
cfg_3234,23,200,2.2,2.5,-0.0461857343837501,1189,-0.08425481993618923,431,-0.03849911895683713,350,-0.015332138231454805,416,0
cfg_3237,23,200,2.2,3.0,-0.0775158287756204,1029,-0.05582588601655852,374,-0.044732750421374305,303,-0.12661870392125188,360,0
cfg_3240,23,200,2.7,0.5,-0.007207788968734,2986,-0.044081386853081495,974,0.01269920432081897,997,0.009551372608366271,1017,2
cfg_3243,23,200,2.7,1.0,-0.0434606097011513,2166,-0.13299577903995927,731,0.023265628952786985,679,-0.016869237908381376,758,1
cfg_3246,23,200,2.7,1.5,-0.0709761247226477,1638,-0.1233224534456324,547,0.02497526990981941,520,-0.10373431049794127,579,1
cfg_3249,23,200,2.7,2.0,-0.1059253960693736,1352,-0.1686186585974967,465,-0.06130530772742487,414,-0.08671171402516085,481,0
cfg_3252,23,200,2.7,2.5,-0.0486262140911589,1166,-0.10541257474895432,422,-0.023934643480325864,345,-0.010279312973064478,406,0
cfg_3255,23,200,2.7,3.0,-0.0903675274588052,1004,-0.08571472211206944,365,-0.062191051507375715,292,-0.11440714954557907,354,0
cfg_3258,23,200,3.2,0.5,-0.0068065185012652,2949,-0.03218904256452548,961,0.0011617183376310665,984,0.010617246541906511,1006,2
cfg_3261,23,200,3.2,1.0,-0.0429094448084511,2115,-0.11422133796846864,716,0.01723875779090351,660,-0.026188712364649563,744,1
cfg_3264,23,200,3.2,1.5,-0.071263007216901,1594,-0.11242748187636986,539,0.0066407896926176345,498,-0.09656661146151706,565,1
cfg_3267,23,200,3.2,2.0,-0.1092467131597998,1323,-0.1713383914766699,457,-0.05512077934075582,399,-0.0979112367267995,475,0
cfg_3270,23,200,3.2,2.5,-0.0404619374752037,1129,-0.05779277811865057,405,-0.019661137372086617,333,-0.04002471935303995,398,0
cfg_3273,23,200,3.2,3.0,-0.0784508225044507,966,-0.0832545189121699,342,-0.03894973212488231,285,-0.10234485604542912,346,0
cfg_3276,23,350,0.2,0.5,-0.0134929457006791,2745,-0.04327194051738096,912,0.03043934367525732,898,-0.023987680951177547,937,1
cfg_3279,23,350,0.2,1.0,-0.0387397285300649,2313,-0.09144201878748989,790,0.03400176240869757,732,-0.04964079985662489,792,1
cfg_3282,23,350,0.2,1.5,-0.0597323668959088,1813,-0.12834998467537737,619,0.007735191382005996,594,-0.04641072050099503,607,1
cfg_3285,23,350,0.2,2.0,-0.0989209221788648,1457,-0.16730207047505027,510,-0.04634658873681624,459,-0.06418892752553602,494,0
cfg_3288,23,350,0.2,2.5,-0.0493801297554708,1248,-0.11928632099572133,445,0.02181308305275506,391,-0.04610187925132572,421,1
cfg_3291,23,350,0.2,3.0,-0.0828228573602122,1056,-0.09249814686569217,389,-0.07365314940604205,325,-0.0796015527662886,350,0
cfg_3294,23,350,0.7,0.5,-0.0157424513113451,2728,-0.04476376509582114,904,0.025100093312073024,895,-0.024177063412324777,931,1
cfg_3297,23,350,0.7,1.0,-0.0414649061677061,2270,-0.10381237563584422,772,0.036723947293741205,729,-0.04910640238261009,770,1
cfg_3300,23,350,0.7,1.5,-0.059313507068881,1773,-0.13360793786980343,610,0.009414776384548598,579,-0.04285295815690862,590,1
cfg_3303,23,350,0.7,2.0,-0.1034474716720917,1417,-0.20433481390076505,490,-0.041408356472619666,451,-0.04555170878050659,482,0
cfg_3306,23,350,0.7,2.5,-0.0491130102950638,1217,-0.12248375597534428,436,0.03556835388998978,383,-0.05476766005770631,407,1
cfg_3309,23,350,0.7,3.0,-0.0820491095132422,1034,-0.11014055521709137,384,-0.037176423916513435,317,-0.09103533032180597,341,0
cfg_3312,23,350,1.2,0.5,-0.0184183011803454,2705,-0.04688148076947409,892,0.02144544057618504,891,-0.026703556242519817,924,1
