config,bar,timestamp_utc,dir,valido,match_status
A,5374,1747120803,-1,True,same
A,5426,1747136403,-1,True,same
A,5438,1747140003,1,True,same
A,5447,1747142703,1,True,same
A,5457,1747145703,1,True,same
A,5504,1747159803,-1,True,A_only
A,5505,1747160103,1,True,A_only
A,5507,1747160703,1,True,A_only
A,5515,1747163103,-1,True,A_only
A,5535,1747169103,-1,True,A_only
A,5539,1747173903,-1,True,A_only
A,5542,1747174803,1,True,A_only
A,5557,1747179303,-1,True,same
A,5558,1747179603,1,True,A_only
A,5578,1747185603,1,True,same
A,5616,1747197003,1,True,same
A,5619,1747197903,1,True,same
A,5620,1747198203,-1,True,A_only
A,5623,1747199103,1,True,same
A,5639,1747203903,-1,True,A_only
A,5663,1747211103,-1,True,A_only
A,5701,1747222503,-1,True,A_only
A,5727,1747230303,1,True,same
A,5763,1747241103,1,True,same
A,5794,1747250403,1,True,same
A,5795,1747250703,-1,True,A_only
A,5812,1747255803,-1,True,A_only
A,5824,1747263003,-1,True,same
A,5825,1747263303,1,True,A_only
A,5829,1747264503,-1,True,same
A,5838,1747267203,-1,True,same
A,5853,1747271703,-1,True,same
A,5914,1747290003,1,True,same
A,5926,1747293603,-1,True,same
A,5957,1747302903,-1,True,A_only
A,5971,1747307103,-1,True,A_only
A,5978,1747309203,1,True,A_only
A,5991,1747313103,-1,True,same
A,6002,1747316403,-1,True,same
A,6048,1747330203,-1,True,same
A,6063,1747334703,-1,True,same
A,6066,1747335603,1,True,A_only
A,6102,1747350003,-1,True,same
A,6103,1747350303,1,True,A_only
A,6124,1747356603,1,True,A_only
A,6141,1747361703,1,True,same
A,6162,1747368003,1,True,same
A,6178,1747372803,-1,True,A_only
A,6182,1747374003,1,True,same
A,6190,1747376403,-1,True,A_only
A,6206,1747381203,1,True,same
A,6217,1747384503,1,True,same
A,6262,1747398003,1,True,same
A,6272,1747401003,-1,True,A_only
A,6285,1747404903,-1,True,A_only
A,6321,1747415703,-1,True,A_only
A,6332,1747419003,-1,True,A_only
A,6333,1747419303,1,True,A_only
A,6337,1747420503,-1,True,A_only
A,6339,1747421103,1,True,A_only
A,6353,1747425303,-1,True,same
A,6359,1747427103,-1,True,same
A,6384,1747611303,-1,True,same
A,6389,1747612803,1,True,A_only
A,6401,1747616403,-1,True,same
A,6442,1747628703,1,True,A_only
A,6447,1747630203,-1,True,same
A,6449,1747630803,1,True,A_only
A,6452,1747631703,-1,True,A_only
A,6468,1747636503,-1,True,A_only
A,6500,1747646103,-1,True,A_only
A,6526,1747653903,-1,True,A_only
A,6527,1747654203,1,True,A_only
A,6533,1747656003,-1,True,same
A,6540,1747658103,1,True,A_only
A,6547,1747660203,1,True,A_only
A,6561,1747664403,1,True,A_only
A,6608,1747678503,1,True,A_only
A,6621,1747682403,-1,True,A_only
A,6665,1747699203,1,True,same
A,6666,1747699503,-1,True,A_only
A,6673,1747701603,1,True,same
A,6681,1747704003,-1,True,A_only
A,6687,1747705803,-1,True,A_only
A,6704,1747710903,1,True,same
A,6729,1747718403,-1,True,A_only
A,6730,1747718703,1,True,A_only
A,6736,1747720503,1,True,A_only
A,6738,1747721103,1,True,A_only
A,6750,1747724703,1,True,A_only
A,6786,1747735503,-1,True,same
A,6810,1747742703,-1,True,same
A,6814,1747743903,1,True,A_only
A,6820,1747745703,-1,True,same
A,6827,1747747803,1,True,A_only
A,6846,1747753503,-1,True,same
A,6884,1747764903,-1,True,same
A,6885,1747765203,1,True,A_only
A,6910,1747772703,-1,True,same
A,6923,1747780203,-1,True,same
A,6924,1747780503,1,True,A_only
A,6941,1747785603,1,True,A_only
A,6955,1747789803,-1,True,same
A,6962,1747791903,1,True,A_only
A,6998,1747802703,1,True,A_only
A,6999,1747803003,-1,True,same
A,7006,1747805103,1,True,A_only
A,7025,1747810803,-1,True,same
A,7078,1747826703,1,True,A_only
A,7079,1747827003,-1,True,same
A,7083,1747828203,1,True,A_only
A,7086,1747829103,-1,True,A_only
A,7095,1747831803,1,True,same
A,7138,1747844703,-1,True,A_only
A,7167,1747853403,-1,True,same
A,7168,1747853703,1,True,A_only
A,7179,1747857003,-1,True,same
A,7199,1747866603,-1,True,same
A,7201,1747867203,1,True,A_only
A,7215,1747871403,-1,True,A_only
A,7221,1747873203,-1,True,same
A,7246,1747880703,-1,True,same
A,7258,1747884303,-1,True,same
A,7274,1747889103,1,True,A_only
A,7278,1747890303,-1,True,same
A,7283,1747891803,-1,True,A_only
A,7284,1747892103,1,True,A_only
A,7289,1747893603,1,True,A_only
A,7305,1747898403,1,True,A_only
A,7355,1747913403,1,True,same
A,7368,1747917303,-1,True,A_only
A,7369,1747917603,1,True,A_only
A,7380,1747920903,-1,True,A_only
A,7390,1747923903,1,True,same
A,7434,1747937103,-1,True,A_only
A,7435,1747937403,1,True,A_only
A,7436,1747937703,-1,True,A_only
A,7445,1747940403,1,True,A_only
A,7452,1747942503,1,True,A_only
A,7475,1747953003,-1,True,A_only
A,7476,1747953303,1,True,A_only
A,7493,1747958403,-1,True,same
A,7495,1747959003,1,True,A_only
A,7502,1747961103,-1,True,same
A,7504,1747961703,1,True,same
A,7588,1747986903,-1,True,same
A,7601,1747990803,1,True,A_only
A,7631,1747999803,-1,True,same
A,7633,1748000403,1,True,A_only
A,7652,1748006103,-1,True,same
A,7662,1748009103,1,True,A_only
A,7708,1748022903,-1,True,same
A,7716,1748025303,-1,True,same
A,7717,1748025603,1,True,A_only
A,7721,1748026803,1,True,A_only
A,7726,1748028303,1,True,A_only
A,7738,1748031903,1,True,A_only
A,7743,1748033403,1,True,A_only
A,7753,1748213103,1,True,same
A,7754,1748213403,-1,True,A_only
A,7778,1748220603,1,True,same
A,7803,1748228103,-1,True,A_only
A,7828,1748235603,-1,True,A_only
A,7829,1748235903,1,True,A_only
A,7831,1748236503,-1,True,A_only
A,7832,1748236803,1,True,A_only
A,7836,1748238003,1,True,A_only
A,7862,1748245803,1,True,A_only
A,7889,1748253903,1,True,same
A,7906,1748259003,-1,True,A_only
A,7909,1748259903,1,True,same
A,7916,1748262003,-1,True,A_only
A,7919,1748262903,1,True,A_only
A,7941,1748269503,-1,True,A_only
A,7976,1748280003,-1,True,A_only
A,8006,1748302803,-1,True,same
A,8011,1748304303,1,True,A_only
A,8013,1748304903,-1,True,same
A,8017,1748306103,-1,True,same
A,8035,1748311503,1,True,same
