period,group,n_trades,pct_of_period,wins,losses,win_rate,profit_factor,expectancy_r,net_r,net_usd,avg_winner_r,avg_loser_r,max_dd_r,max_dd_usd,max_losing_streak,muestra_insuficiente
sub3,E_against,92,10.526315789473683,41,51,0.44565217391304346,0.7479882492431886,-0.14457187362793375,-13.300612373769905,-84.26230156580135,0.9628569373898672,-1.0348577805245973,20.01640435288968,223.15091058182935,10,False
sub3,F_neutral,676,77.34553775743707,330,346,0.4881656804733728,0.888363203162784,-0.059149750057629825,-39.985231038957764,-607.0604388063622,0.9642038568397049,-1.0351806468094231,67.35100199717981,862.3708853565163,8,False
T1,A_baseline,401,100.0,178,223,0.44389027431421446,0.7450589667682266,-0.14645086046029127,-58.7267950445768,-407.3499419492511,0.9642001666486327,-1.0329794829956656,61.04952437437969,419.1006868479851,10,False
T1,D_aligned,51,12.718204488778055,28,23,0.5490196078431373,1.1353956264076983,0.06314618891387959,3.220455634607859,-39.64508864313289,0.9644991970112793,-1.0341531252916503,3.5614952967908735,65.76960540367872,3,False
T1,E_against,39,9.72568578553616,19,20,0.48717948717948717,0.8848477728423519,-0.06088426419231103,-2.37448630350013,-2.301751865458396,0.9603118498731734,-1.0310205725545214,9.911809145406012,56.71611276214172,4,False
T1,F_neutral,311,77.55610972568579,131,180,0.4212218649517685,0.6796276004440951,-0.19155229702792456,-59.572764375684535,-365.40310144065984,0.9647002061034389,-1.0330471743068612,61.72680881613979,377.1538463393938,10,False
T2,A_baseline,430,100.0,214,216,0.49767441860465117,0.8985311410954916,-0.05340738156717045,-22.965174073883293,-154.60770528687732,0.9502903635106701,-1.0478116290054014,30.078598102833464,197.82606692708265,7,False
T2,D_aligned,60,13.953488372093023,32,28,0.5333333333333333,1.034951312429043,0.01713704203781531,1.0282225222689187,-48.57077756447201,0.951466639353438,-1.0506682120371822,7.788320540792844,97.12754023643323,3,False
T2,E_against,71,16.511627906976745,25,46,0.352112676056338,0.4997542548605966,-0.3378142005115015,-23.984808236316606,-86.54507454338909,0.9584497287247834,-1.042305466400787,22.958848202313437,80.22175441906575,7,False
T2,F_neutral,299,69.53488372093022,157,142,0.5250836120401338,0.9999423455102755,-2.8723611490327818e-05,-0.008588359835608017,-19.491853179016175,0.9487513510436548,-1.049032045589362,18.63258548538199,112.5890892922862,6,False
T3,A_baseline,406,100.0,222,183,0.5481481481481482,1.157438400761338,0.07265909633843186,29.499593113403332,329.2454680584957,0.9755150947426059,-1.0238922752568378,10.695362035724182,136.74896700845784,6,False
T3,D_aligned,51,12.561576354679804,32,19,0.6274509803921569,1.620417586577333,0.2352237614455024,11.996411833720622,128.03870595394235,0.9791387452051568,-1.017685684886547,3.1605333446858506,62.80352981575106,2,False
T3,E_against,75,18.472906403940886,33,42,0.44,0.7498916684046134,-0.14328715772100287,-10.746536829075215,-83.14445912420216,0.9763936825345625,-1.0230363893503756,16.10068863767006,133.80732236901542,7,False
T3,F_neutral,280,68.96551724137932,157,122,0.5627240143369175,1.2258735505453924,0.10089185038842113,28.249718108757918,284.35122122875543,0.9745918449850505,-1.0251535246429604,7.353526111049842,113.93820228383248,6,False
T4,A_baseline,363,100.0,180,182,0.4972375690607735,0.9446283867900876,-0.028501936845826838,-10.346203075035142,-354.8931207031538,0.9784191280417502,-1.026650053115553,25.21390758821206,748.7667831090353,6,False
T4,D_aligned,53,14.600550964187327,29,24,0.5471698113207547,1.1493547050756925,0.06949488759014956,3.683229042277927,184.11184059521418,0.977385513801577,-1.0275396190819919,4.085777026494397,128.1087474632841,4,False
T4,E_against,48,13.223140495867769,20,28,0.4166666666666667,0.6842296498832856,-0.1884072416442718,-9.043547598925047,-264.3223105315934,0.9798043744493693,-1.022844110282587,12.961389112331368,305.17597029929385,5,False
T4,F_neutral,262,72.1763085399449,131,130,0.5019157088122606,0.9626664557629602,-0.01903009358163364,-4.985884518388013,-274.6826507667745,0.9784364554067324,-1.0273055670857723,16.34255868087323,633.1550806833765,6,False
T5,A_baseline,463,100.0,208,255,0.44924406047516197,0.7629683233884011,-0.13510771119232873,-62.554870282048206,-720.489129196857,0.9680502732868818,-1.03493853774792,68.87895670809402,855.0135140933032,8,False
