ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,valid_bars,orden_viva,max_bars_trade,fixed_lot,entrada_viva,una_operacion_a_la_vez,n_sig,n_fill,n_win,n_loss,n_none,n_open_timeout,n_skip_stop,n_skip_concurrency,n_trades,win_rate,expectancy_r,expectancy_usd,max_drawdown_r
8,200,1.7,1.5,3,10,True,500,0.01,False,True,9895,3632,1440,2190,611,1,19,5633,3631,0.39669421487603307,0.36988156377736037,0.03258491583644023,23.612934823025853
8,200,1.7,2.0,1,10,True,500,0.01,False,True,9895,2881,953,1925,338,2,19,6657,2880,0.3311327310632384,0.45364153786649164,0.04344897976385674,26.094662949021654
8,200,1.7,2.0,2,10,True,500,0.01,False,True,9895,2881,953,1925,338,2,19,6657,2880,0.3311327310632384,0.45364153786649164,0.04344897976385674,26.094662949021654
8,200,1.7,2.0,3,10,True,500,0.01,False,True,9895,2881,953,1925,338,2,19,6657,2880,0.3311327310632384,0.45364153786649164,0.04344897976385674,26.094662949021654
8,200,1.7,2.5,1,10,True,500,0.01,False,True,9895,2356,643,1705,196,7,19,7324,2355,0.27385008517887566,0.5553894467893796,0.0584111697765855,23.911361529696023
8,200,1.7,2.5,2,10,True,500,0.01,False,True,9895,2356,643,1705,196,7,19,7324,2355,0.27385008517887566,0.5553894467893796,0.0584111697765855,23.911361529696023
8,200,1.7,2.5,3,10,True,500,0.01,False,True,9895,2356,643,1705,196,7,19,7324,2355,0.27385008517887566,0.5553894467893796,0.0584111697765855,23.911361529696023
8,200,1.7,3.0,1,10,True,500,0.01,False,True,9895,1985,463,1511,138,10,19,7753,1984,0.23454913880445796,0.6300252218014379,0.07025012692017393,48.11486451699625
8,200,1.7,3.0,2,10,True,500,0.01,False,True,9895,1985,463,1511,138,10,19,7753,1984,0.23454913880445796,0.6300252218014379,0.07025012692017393,48.11486451699625
8,200,1.7,3.0,3,10,True,500,0.01,False,True,9895,1985,463,1511,138,10,19,7753,1984,0.23454913880445796,0.6300252218014379,0.07025012692017393,48.11486451699625
8,200,2.2,0.5,1,10,True,500,0.01,False,True,9895,5069,3424,1645,2384,0,19,2423,5069,0.6754783981061353,0.1229201821087955,0.011352415023991827,34.44262388972794
8,200,2.2,0.5,2,10,True,500,0.01,False,True,9895,5069,3424,1645,2384,0,19,2423,5069,0.6754783981061353,0.1229201821087955,0.011352415023991827,34.44262388972794
8,200,2.2,0.5,3,10,True,500,0.01,False,True,9895,5069,3424,1645,2384,0,19,2423,5069,0.6754783981061353,0.1229201821087955,0.011352415023991827,34.44262388972794
8,200,2.2,1.0,1,10,True,500,0.01,False,True,9895,4369,2172,2196,1115,0,19,4392,4368,0.49725274725274726,0.24138469658522468,0.02221848061249312,32.32886189859778
8,200,2.2,1.0,2,10,True,500,0.01,False,True,9895,4369,2172,2196,1115,0,19,4392,4368,0.49725274725274726,0.24138469658522468,0.02221848061249312,32.32886189859778
8,200,2.2,1.0,3,10,True,500,0.01,False,True,9895,4369,2172,2196,1115,0,19,4392,4368,0.49725274725274726,0.24138469658522468,0.02221848061249312,32.32886189859778
8,200,2.2,1.5,1,10,True,500,0.01,False,True,9895,3496,1367,2127,562,1,19,5818,3495,0.39124212936462505,0.3777300538547699,0.03349241770940828,20.738872458333617
8,200,2.2,1.5,2,10,True,500,0.01,False,True,9895,3496,1367,2127,562,1,19,5818,3495,0.39124212936462505,0.3777300538547699,0.03349241770940828,20.738872458333617
8,200,2.2,1.5,3,10,True,500,0.01,False,True,9895,3496,1367,2127,562,1,19,5818,3495,0.39124212936462505,0.3777300538547699,0.03349241770940828,20.738872458333617
8,200,2.2,2.0,1,10,True,500,0.01,False,True,9895,2762,912,1847,309,2,19,6805,2761,0.33055454874954693,0.43821420262393057,0.0440463973586517,28.701528264026464
8,200,2.2,2.0,2,10,True,500,0.01,False,True,9895,2762,912,1847,309,2,19,6805,2761,0.33055454874954693,0.43821420262393057,0.0440463973586517,28.701528264026464
8,200,2.2,2.0,3,10,True,500,0.01,False,True,9895,2762,912,1847,309,2,19,6805,2761,0.33055454874954693,0.43821420262393057,0.0440463973586517,28.701528264026464
8,200,2.2,2.5,1,10,True,500,0.01,False,True,9895,2271,627,1636,182,7,19,7423,2270,0.2770658418029165,0.5805672410509444,0.06091720723349364,25.56895294067249
8,200,2.2,2.5,2,10,True,500,0.01,False,True,9895,2271,627,1636,182,7,19,7423,2270,0.2770658418029165,0.5805672410509444,0.06091720723349364,25.56895294067249
8,200,2.2,2.5,3,10,True,500,0.01,False,True,9895,2271,627,1636,182,7,19,7423,2270,0.2770658418029165,0.5805672410509444,0.06091720723349364,25.56895294067249
8,200,2.2,3.0,1,10,True,500,0.01,False,True,9895,1903,445,1446,129,11,19,7844,1902,0.23532522474881015,0.6743254866923516,0.07212431924861583,47.547879098201065
8,200,2.2,3.0,2,10,True,500,0.01,False,True,9895,1903,445,1446,129,11,19,7844,1902,0.23532522474881015,0.6743254866923516,0.07212431924861583,47.547879098201065
8,200,2.2,3.0,3,10,True,500,0.01,False,True,9895,1903,445,1446,129,11,19,7844,1902,0.23532522474881015,0.6743254866923516,0.07212431924861583,47.547879098201065
8,200,2.7,0.5,1,10,True,500,0.01,False,True,9895,5023,3384,1639,2328,0,16,2527,5023,0.6737009755126419,0.13384083764834603,0.01194757380779415,31.63264848199566
